"t","x1","x2"
7,3.14986429433042,0.177224409816983
7.05,3.15871006781475,0.176607793893024
7.1,3.16752518106644,0.175997978369171
7.15,3.17630997088904,0.175394835177101
7.2,3.18506476776867,0.174798239669234
7.25,3.19378989604215,0.174208070500344
7.3,3.20248567405921,0.173624209514207
7.35,3.21115241433925,0.173046541635017
7.4,3.21979042372269,0.172474954763353
7.45,3.22840000351734,0.171909339676456
7.5,3.23698144963977,0.171349589932608
7.55,3.2455350527521,0.170795601779418
7.6,3.25406109839419,0.170247274065818
7.65,3.26255986711166,0.169704508157594
7.7,3.27103163457963,0.169167207856292
7.75,3.27947667172255,0.168635279321321
7.8,3.28789524483026,0.168108630995122
7.85,3.29628761567028,0.167587173531249
7.9,3.30465404159663,0.167070819725233
7.95,3.3129947756553,0.166559484448099
8,3.32131006668636,0.166053084582413
8.05,3.32960015942303,0.165551538960751
8.1,3.33786529458766,0.165054768306478
8.15,3.34610570898485,0.164562695176732
8.2,3.35432163559178,0.164075243907517
8.25,3.36251330364577,0.163592340560821
8.3,3.37068093872935,0.163113912873653
8.35,3.37882476285273,0.162639890208935
8.4,3.38694499453393,0.162170203508152
8.45,3.39504184887659,0.161704785245705
8.5,3.40311553764542,0.161243569384873
8.55,3.41116626933968,0.160786491335337
8.6,3.41919424926439,0.160333487912178
8.65,3.42719967959965,0.159884497296316
8.7,3.43518275946795,0.159439458996305
8.75,3.44314368499962,0.158998313811439
8.8,3.4510826493965,0.158561003796124
8.85,3.4589998429938,0.15812747222545
8.9,3.4668954533203,0.157697663561918
8.95,3.47476966515693,0.157271523423289
9,3.48262266059376,0.156848998551497
9.05,3.49045461908539,0.156430036782581
9.1,3.49826571750501,0.156014587017616
9.15,3.50605613019688,0.155602599194581
9.2,3.51382602902752,0.155194024261144
9.25,3.52157558343555,0.154788814148321
9.3,3.52930496048015,0.15438692174498
9.35,3.5370143248884,0.15398830087315
9.4,3.54470383910132,0.15359290626412
9.45,3.55237366331873,0.153200693535278
9.5,3.56002395554301,0.152811619167685
9.55,3.56765487162173,0.152425640484332
9.6,3.57526656528922,0.152042715629083
9.65,3.5828591882071,0.15166280354625
9.7,3.59043289000379,0.151285863960802
9.75,3.59798781831311,0.150911857359165
9.8,3.60552411881182,0.15054074497061
9.85,3.61304193525634,0.150172488749192
9.9,3.62054140951857,0.149807051356231
9.95,3.62802268162078,0.149444396143311
10,3.63548588976973,0.149084487135779
10.05,3.64293117038999,0.14872728901673
10.1,3.65035865815637,0.148372767111459
10.15,3.65776848602569,0.148020887372361
10.2,3.66516078526779,0.147671616364267
10.25,3.67253568549573,0.147324921250204
10.3,3.67989331469542,0.146980769777554
