"Time","Enterobacterales_A_737866","Veillonellales","Pseudomonadales_660879","Rhizobiales_A_504705","Lactobacillales","Burkholderiales_592522","Bacteroidales","Lachnospirales","Oscillospirales","Erysipelotrichales","Acidaminococcales","Coriobacteriales","Clostridia_258483_Class","UBA1381","Actinomycetales","Christensenellales","RF39","Xanthomonadales_616009","Gammaproteobacteria_Class","Monoglobales","Verrucomicrobiales","Bacteria_Kingdom","Clostridiales","Peptostreptococcales","Tissierellales","TANB77","Selenomonadales"
105,0,0,0,0.000666666666666667,0,0.001,0.932611111111111,0.00705555555555556,0.0271111111111111,5.55555555555556e-05,0.0158333333333333,0.000111111111111111,0.000611111111111111,0.000333333333333333,0.000333333333333333,0.000166666666666667,0.00144444444444444,0,0,5.55555555555556e-05,0.00177777777777778,0.00194444444444444,0,0.000111111111111111,0,0.00366666666666667,0
106,0,0,0.00144444444444444,0.000666666666666667,0,0.00327777777777778,0.770944444444444,0.0118888888888889,0.184611111111111,0.000166666666666667,0.0145,5.55555555555556e-05,0.00122222222222222,0.000111111111111111,0,0.000444444444444444,0.00116666666666667,0,0,0,0.00194444444444444,0.00222222222222222,0,0.000111111111111111,0,0.00522222222222222,0
107,0,0,0.00288888888888889,0.00294444444444444,0,0.0151111111111111,0.801777777777778,0.0198888888888889,0.124888888888889,5.55555555555556e-05,0.0122222222222222,0.000444444444444444,0.00144444444444444,0.000277777777777778,0,0.000111111111111111,0.00105555555555556,0,0,0,0.00194444444444444,0.00177777777777778,0,5.55555555555556e-05,0,0.00655555555555555,0
108,0,0,0.00588888888888889,0.00461111111111111,0.000111111111111111,0.0274444444444444,0.818444444444444,0.0348888888888889,0.067,0.000222222222222222,0.0101666666666667,0.00161111111111111,0.00183333333333333,0.000833333333333333,0,0.000277777777777778,0.000888888888888889,0,0,5.55555555555556e-05,0.00161111111111111,0.00166666666666667,0,0.000611111111111111,0,0.00777777777777778,0
109,5.55555555555556e-05,0,0.000333333333333333,0,5.55555555555556e-05,0.000444444444444444,0.6165,0.0928888888888889,0.213777777777778,0.00177777777777778,0.0239444444444444,0.00822222222222222,0.00427777777777778,0.00422222222222222,0,0.00166666666666667,0.006,0,0,0.000444444444444444,0.00855555555555556,0.00444444444444444,0,0.00138888888888889,5.55555555555556e-05,0.0102222222222222,0
110,0,0,0,0,0,0,0.608611111111111,0.132666666666667,0.175611111111111,0.00244444444444444,0.0367777777777778,0.00438888888888889,0.00511111111111111,0.00183333333333333,0,0.00111111111111111,0.00922222222222222,0,0,0.000611111111111111,0.00583333333333333,0.00777777777777778,0,0.00155555555555556,0,0.00633333333333333,0
111,0,0,0,0,0,0,0.647342995169082,0.121398124467178,0.156123898834896,0.00215970446149474,0.0362603012219381,0.00318272236430804,0.00443307757885763,0.0014208581983518,0,0.000852514919011083,0.00841148053424268,0,0,0.000454674623472577,0.00437624325092356,0.00687695368002273,0,0.00130718954248366,0,0.00534242682580278,0
112,0,0,0,0,0,0,0.707704482505229,0.0967158442145724,0.13334463851676,0.00152619976259115,0.0327850319371432,0.00220451076818721,0.00350460686224634,0.00113051834266011,0,0.00062178508846306,0.00610479905036459,0,0,0.000339155502798033,0.0030523995251823,0.00553953987903454,0,0.000960940591261093,0,0.00440902153637443,0
113,0,5.57506829458661e-05,0,0,0,0,0.772592964263812,0.0684618386575235,0.111947371355299,0.000780509561242125,0.0277080894240954,0.00144951775659252,0.00234152868372638,0.000947761610079723,0,0.000334504097675196,0.0032892902938061,0,0,0.000167252048837598,0.00195127390310531,0.00367954507442716,5.57506829458661e-05,0.000669008195350393,0,0.00351229302558956,0
114,0,5.52364118426867e-05,0,0,0,0,0.823685373398144,0.0452386212991604,0.0969399027839152,0.00016570923552806,0.0222602739726027,0.00110472823685373,0.00149138311975254,0.0008285461776403,0,0.000220945647370747,0.00104949182501105,0,0,5.52364118426867e-05,0.00127043747238179,0.00220945647370747,5.52364118426867e-05,0.00033141847105612,0,0.00298276623950508,0
