"Time","Pasteurellaceae","Veillonellaceae","Streptococcaceae","Moraxellaceae","Caulobacteraceae","Bacteroidaceae","Lactobacillaceae","Burkholderiaceae_A_592522","Ruminococcaceae","Lachnospiraceae","Coprobacillaceae","Peptostreptococcaceae_256921","Acutalibacteraceae","Acidaminococcaceae","Butyricicoccaceae","Eggerthellaceae","Muribaculaceae","UBA1381","Rikenellaceae","Bifidobacteriaceae","CAG-274","Clostridiaceae_222000","Desulfovibrionaceae","Anaerovoracaceae","Peptoniphilaceae","Enterobacteriaceae_A","Tannerellaceae","Bacteria_Kingdom","Gammaproteobacteria_Class","Oscillospiraceae_88309","Anaerotignaceae","Turicibacteraceae","Clostridia_258483_Class","Fusobacteriaceae_993521","Erysipelotrichaceae","Oscillospirales_Order","Burkholderiaceae_A_595427"
297,0.00811111111111111,0.000944444444444444,0.00316666666666667,0,0,0.416222222222222,0.000333333333333333,0,0.253833333333333,0.185055555555556,0.0412777777777778,5e-04,0.0215555555555556,0.0211111111111111,0.00655555555555556,0.00777777777777778,0.00116666666666667,0.00433333333333333,0.00177777777777778,0.00377777777777778,0,0.000166666666666667,0.00172222222222222,0.000166666666666667,5.55555555555556e-05,0.000222222222222222,0.00955555555555555,0.00233333333333333,0,0.00394444444444444,0.000333333333333333,0,0.000222222222222222,0,0.000166666666666667,0,0.00327777777777778
298,0,0,0.000722222222222222,0.000611111111111111,0,0.538944444444444,0.000555555555555556,0.000833333333333333,0.202722222222222,0.114777777777778,0.0273888888888889,0,0.0172222222222222,0.0232777777777778,0.017,0.0137222222222222,0.00127777777777778,0.00544444444444444,0.00111111111111111,0.00261111111111111,0,0.00188888888888889,0.00227777777777778,0.000166666666666667,0,0.000277777777777778,0.0101666666666667,0.000944444444444444,5.55555555555556e-05,0.00744444444444444,0.000555555555555556,0,0.00144444444444444,0,0.000722222222222222,0.000555555555555556,0.00394444444444444
299,0,0.000782691340079387,0.0135293788785151,0.000279532621456924,0,0.400793872644938,0.000279532621456924,0.000335439145748309,0.316598647062112,0.146083747973388,0.0299658970201823,0.001453569631576,0.0115167440040253,0.0147593224129256,0.0142002571700117,0.0122994353441047,0.000782691340079387,0.00469614804047632,0.000726784815788002,0.0036898306032314,0,0.00100631743724493,0.00134175658299324,0.000167719572874154,0,0.000503158718622463,0.00833007211941634,0.00396936322468832,0,0.00525521328339017,0.000391345670039694,0,0.000726784815788003,0,0.000559065242913848,0.000279532621456924,0.00402526974897971
300,0,0.00166666666666667,0.0264444444444444,0,0,0.259111111111111,0.000222222222222222,0,0.429166666666667,0.182277777777778,0.0322222222222222,0.003,0.00627777777777778,0.00588888888888889,0.0107222222222222,0.00916666666666667,0.000333333333333333,0.00394444444444444,0.000611111111111111,0.00488888888888889,0,0.000277777777777778,0.000555555555555556,0.000222222222222222,0,0.000833333333333333,0.0065,0.00705555555555556,0,0.00305555555555556,0.000333333333333333,5.55555555555556e-05,0.000111111111111111,0,5e-04,0,0.00416666666666667
301,0.00227777777777778,0.001,0.00294444444444444,0,0,0.355111111111111,0.000277777777777778,0,0.364777777777778,0.140666666666667,0.0260555555555556,0.0015,0.0306111111111111,0.0133333333333333,0.00922222222222222,0.001,0.00444444444444444,0.0116111111111111,0.00144444444444444,0.003,0,0,0.002,0.000277777777777778,5.55555555555556e-05,0,0.0162777777777778,0.00116666666666667,0,0.00466666666666667,0.000444444444444444,0,0.00422222222222222,0,0.000444444444444444,0.000111111111111111,0.000833333333333333
302,0.000277777777777778,0.00138888888888889,0.00188888888888889,0,0,0.296111111111111,0.000277777777777778,0,0.342277777777778,0.197777777777778,0.0491666666666667,0.00461111111111111,0.0356666666666667,0.012,0.0186666666666667,0.00566666666666667,0.000444444444444444,0.0085,0.000777777777777778,0.00244444444444444,0,0.000166666666666667,5e-04,0.000222222222222222,0.000166666666666667,0,0.0115,0.000555555555555556,0,0.00272222222222222,0.000388888888888889,0,0.00361111111111111,0,0.000388888888888889,0,0.00166666666666667
303,0.000111111111111111,0.000888888888888889,0.00277777777777778,0.000166666666666667,0,0.2955,0.000388888888888889,0,0.365944444444444,0.174388888888889,0.0333888888888889,0.00216666666666667,0.0192777777777778,0.0276666666666667,0.0344444444444444,0.0139444444444444,0,0.00583333333333333,0,0.00333333333333333,0,0.000333333333333333,0,0.000166666666666667,0.000166666666666667,0.000222222222222222,0.0133333333333333,0,0,0.000666666666666667,5.55555555555556e-05,5.55555555555556e-05,0.000833333333333333,0,0.000888888888888889,0,0.00283333333333333
304,0.00172222222222222,0.000777777777777778,0.0100555555555556,0.000277777777777778,0,0.0652222222222222,0.00105555555555556,0.000388888888888889,0.4375,0.2615,0.117666666666667,0.0178888888888889,0.00161111111111111,0.00366666666666667,0.0441666666666667,0.0176111111111111,0,0.001,0,0.00505555555555556,0,0.00205555555555556,0,0.000222222222222222,0.000277777777777778,0.000166666666666667,0.000833333333333333,0.00111111111111111,0.000111111111111111,0.000222222222222222,0,5.55555555555556e-05,0.00261111111111111,0,5.55555555555556e-05,0.000111111111111111,0.00461111111111111
305,0.00122222222222222,0.00155555555555556,0.00405555555555556,5.55555555555556e-05,0,0.339277777777778,0.000222222222222222,0.000111111111111111,0.346888888888889,0.165777777777778,0.058,0.00105555555555556,0.00205555555555556,0.0112777777777778,0.0323888888888889,0.00577777777777778,0,0.0127777777777778,0,0.00172222222222222,0,5.55555555555556e-05,5.55555555555556e-05,0.000166666666666667,5.55555555555556e-05,0,0.00927777777777778,0.00111111111111111,0,0.00183333333333333,0.000333333333333333,5.55555555555556e-05,5.55555555555556e-05,0,0.000222222222222222,0,0.00233333333333333
306,0.000444444444444444,0.000722222222222222,0.00338888888888889,0,0,0.139055555555556,0.000166666666666667,0,0.347611111111111,0.278833333333333,0.160777777777778,5.55555555555556e-05,0.00194444444444444,0.00288888888888889,0.0265,0.0116666666666667,0.000111111111111111,0.0158888888888889,0.000555555555555556,0.001,0,0.00244444444444444,0,0.000277777777777778,0.000277777777777778,0,0.000722222222222222,0.00338888888888889,0,0.000222222222222222,0.000166666666666667,0.000111111111111111,5.55555555555556e-05,0,5.55555555555556e-05,0,0.000277777777777778
