"Time","Enterobacterales_A_737866","Veillonellales","Lactobacillales","Pseudomonadales_660879","Caulobacterales","Bacteroidales","Burkholderiales_592522","Oscillospirales","Lachnospirales","Erysipelotrichales","Peptostreptococcales","Acidaminococcales","Coriobacteriales","UBA1381","Actinomycetales","Clostridiales","Desulfovibrionales","Tissierellales","Bacteria_Kingdom","Campylobacterales","Gammaproteobacteria_Class","Haloplasmatales_A","Clostridia_258483_Class","Fusobacteriales_993521","Burkholderiales_595427"
37,0.00738888888888889,0.0075,0.00122222222222222,0.000666666666666667,0,0.358611111111111,0.002,0.326333333333333,0.173666666666667,0.0656111111111111,0.000388888888888889,0.00711111111111111,0.00477777777777778,0.0314444444444444,0.00455555555555556,0,0.00161111111111111,0,5e-04,0,0.00405555555555556,0,0.000111111111111111,0,0
38,0.000277777777777778,0.00511111111111111,0.000555555555555556,0.000333333333333333,0,0.311055555555556,0.000222222222222222,0.345555555555556,0.252666666666667,0.0493888888888889,0.000277777777777778,0.0101111111111111,0.00394444444444444,0.00905555555555556,0.005,5.55555555555556e-05,0.000444444444444444,0,5.55555555555556e-05,0,0.00455555555555556,0,0.000666666666666667,0,0
39,5e-04,0.00138888888888889,0.00122222222222222,0.000111111111111111,0,0.483444444444444,0.000388888888888889,0.230611111111111,0.219222222222222,0.0207777777777778,5.55555555555556e-05,0.00883333333333333,0.000666666666666667,0.0197222222222222,0.00438888888888889,0,0.00144444444444444,0.000555555555555556,0.00116666666666667,0,0.00444444444444444,0,0.000611111111111111,0,0
40,0.000833333333333333,0.00233333333333333,0.00322222222222222,5.55555555555556e-05,0,0.380833333333333,0,0.359444444444444,0.187888888888889,0.0369444444444444,0.000166666666666667,0.00883333333333333,0.000888888888888889,0.00788888888888889,0.00544444444444444,0,0.001,0,0.000666666666666667,0,0.00327777777777778,0,0.000277777777777778,0,0
41,0.000666666666666667,0.021,0.00866666666666667,5e-04,0,0.275611111111111,0.00444444444444444,0.4265,0.200444444444444,0.0165,0.000277777777777778,0.00572222222222222,0.00105555555555556,0.0176111111111111,0.0117222222222222,0,0.00122222222222222,0.000333333333333333,0.000388888888888889,0,0.00488888888888889,0,0.000388888888888889,0,0
42,0.00527777777777778,0.0568333333333333,0.00744444444444444,0,0,0.181888888888889,0.000777777777777778,0.4135,0.254777777777778,0.0330555555555556,0.000444444444444444,0.00327777777777778,0.00222222222222222,0.0300555555555556,0.00616666666666667,0,0.000444444444444444,5.55555555555556e-05,0.00255555555555556,0,0.001,0,0,0,0
43,0.00222222222222222,0.00455555555555556,0.001,0.000555555555555556,0,0.299333333333333,0.000166666666666667,0.461833333333333,0.106611111111111,0.0661666666666667,0.000277777777777778,0.00405555555555556,0.0297222222222222,0.0132222222222222,0.00605555555555556,0,0.00133333333333333,0,0.000888888888888889,0,0.000388888888888889,0,0.00155555555555556,0,0
44,0.00361111111111111,0.00405555555555556,0.00105555555555556,0.000166666666666667,0,0.286055555555556,0.000555555555555556,0.425666666666667,0.150888888888889,0.0817222222222222,0.0196666666666667,0.00211111111111111,0.00866666666666667,0.00727777777777778,0.004,0,0.000555555555555556,0,0.000333333333333333,0,0.000777777777777778,0,0.00277777777777778,0,0
45,0.00522222222222222,0.00216666666666667,0.000666666666666667,5.55555555555556e-05,0,0.264777777777778,0.00144444444444444,0.4005,0.194166666666667,0.0885,0.0297222222222222,0.000222222222222222,0.000722222222222222,0.00527777777777778,0.00233333333333333,0,0,5.55555555555556e-05,0.000277777777777778,0,0.000722222222222222,0,0.00305555555555556,0,0
46,0.00538888888888889,0.00422222222222222,0.00105555555555556,0,0,0.151333333333333,0,0.447111111111111,0.282444444444444,0.0791111111111111,0.00922222222222222,5e-04,0.00244444444444444,0.00577777777777778,0.00566666666666667,0,0,0,0.000666666666666667,0,0.000277777777777778,5.55555555555556e-05,0.00472222222222222,0,0
47,0.00555555555555556,0.00344444444444444,0.00844444444444445,0,0,0.0837777777777778,0,0.383944444444444,0.282722222222222,0.199611111111111,0.000388888888888889,0.000111111111111111,0.00761111111111111,0.0136666666666667,0.00727777777777778,0,0,0.000111111111111111,0.00283333333333333,5.55555555555556e-05,0.000222222222222222,0,0.000222222222222222,0,0
48,0.00355555555555556,0.003,0.00522222222222222,5.55555555555556e-05,0,0.164333333333333,0,0.404833333333333,0.237111111111111,0.132222222222222,0.000722222222222222,0.00272222222222222,0.00438888888888889,0.0307222222222222,0.00705555555555556,0.000111111111111111,0.000222222222222222,0,0.00172222222222222,0,0.000611111111111111,5.55555555555556e-05,0.00133333333333333,0,0
49,0.000944444444444444,0.00144444444444444,0.00127777777777778,0.000222222222222222,0,0.291166666666667,0,0.430666666666667,0.18,0.0295,0.0015,0.00538888888888889,0.00144444444444444,0.0437777777777778,0.00633333333333333,0.000111111111111111,0.000444444444444444,0,0.000333333333333333,0,0.00177777777777778,5.55555555555556e-05,0.00361111111111111,0,0
50,0.00683333333333333,0.00477777777777778,0.00416666666666667,0.000222222222222222,0,0.318722222222222,0,0.373166666666667,0.225333333333333,0.0130555555555556,0.00194444444444444,0.00544444444444444,0.00177777777777778,0.0333888888888889,0.00872222222222222,0.000222222222222222,0,5.55555555555556e-05,5.55555555555556e-05,0.000111111111111111,0.00183333333333333,0,0,0,0
51,0.000888888888888889,0.00377777777777778,0.00227777777777778,0.000333333333333333,0,0.259,0.000722222222222222,0.415833333333333,0.243888888888889,0.0216666666666667,0.000611111111111111,0.00694444444444444,0.00444444444444444,0.0315,0.00655555555555556,0.000666666666666667,0,0.000111111111111111,0.000166666666666667,0,0.000166666666666667,0,0.000111111111111111,0,0
52,0.00705555555555556,0.00272222222222222,0.00216666666666667,0.000166666666666667,0.000166666666666667,0.225833333333333,0.000388888888888889,0.445611111111111,0.223722222222222,0.0421666666666667,0.0025,0.00544444444444444,0.0035,0.0309444444444444,0.007,5.55555555555556e-05,0,0,0.000222222222222222,0,0.000166666666666667,0.000166666666666667,0,0,0
