"Time","Lactobacillales","Bacteroidales","Oscillospirales","Lachnospirales","Acidaminococcales","Burkholderiales_595427","Erysipelotrichales","Desulfovibrionales","UBA1381","Clostridia_258483_Class","TANB77","Clostridiales","Gammaproteobacteria_Class","Haloplasmatales_A","Tissierellales","Mycobacteriales","Enterobacterales_A_737866","Veillonellales","Actinomycetales","Christensenellales","RF39","Verrucomicrobiales","Coriobacteriales","Peptostreptococcales","Campylobacterales","Bacteria_Kingdom","Saccharofermentanales","Fusobacteriales_993521"
347,5.55555555555556e-05,0.657833333333333,0.202222222222222,0.0602777777777778,0.0159444444444444,0.0101666666666667,0.00188888888888889,0.00633333333333333,0.000277777777777778,0.0015,0.0126666666666667,0.00166666666666667,0.00216666666666667,0.000111111111111111,0.004,0.000111111111111111,0.001,0.000166666666666667,0.000166666666666667,0.0103333333333333,0.000388888888888889,0.000555555555555556,0.000111111111111111,0.00177777777777778,0.0015,0.00672222222222222,0,0
348,0.000222222222222222,0.672722222222222,0.194444444444444,0.0536666666666667,0.0191666666666667,0.00616666666666667,0.00172222222222222,0.006,0.000388888888888889,0.002,0.00988888888888889,0.000666666666666667,0.0015,0.000222222222222222,0.00588888888888889,0.000222222222222222,5e-04,0.000444444444444444,0.000111111111111111,0.0123888888888889,0.000222222222222222,0.000833333333333333,0.000277777777777778,0.00122222222222222,0.00155555555555556,0.00733333333333333,0.000111111111111111,0
349,0.000388888888888889,0.713222222222222,0.168055555555556,0.0472777777777778,0.0198888888888889,0.0119444444444444,0.00127777777777778,0.00333333333333333,0.000722222222222222,0.00188888888888889,0.0242777777777778,0.000111111111111111,0.00338888888888889,0.000111111111111111,0,0,0,0,0,0.00111111111111111,0.000111111111111111,0,0.000111111111111111,0.00122222222222222,0,0.00155555555555556,0,0
350,0.000444444444444444,0.721166666666667,0.159722222222222,0.0495,0.0191111111111111,0.0103888888888889,0.001,0.00266666666666667,0.000722222222222222,0.00211111111111111,0.0227222222222222,5.55555555555556e-05,0.00311111111111111,0,0.000111111111111111,0,0,0,0,0.00166666666666667,0.000277777777777778,0.000277777777777778,0.000111111111111111,0.000833333333333333,0,0.00394444444444444,0,0
351,0.000388888888888889,0.731888888888889,0.146055555555556,0.0524444444444444,0.0189444444444444,0.00888888888888889,0.000944444444444444,0.003,0.000611111111111111,0.00205555555555556,0.0217777777777778,0.000111111111111111,0.00205555555555556,0,0.000166666666666667,0,0,0,0,0.00211111111111111,0.000555555555555556,0.000444444444444444,0.000111111111111111,0.000444444444444444,0.000277777777777778,0.00661111111111111,0,0
352,5.55555555555556e-05,0.6515,0.153888888888889,0.0623333333333333,0.0304444444444444,0.0095,0.00238888888888889,0.00638888888888889,0.000944444444444444,0.00188888888888889,0.0711111111111111,5.55555555555556e-05,0.00205555555555556,0,0,0,0,0,0,0.00216666666666667,5e-04,0,0,5e-04,0.000277777777777778,0.004,0,0
353,0.000444444444444444,0.749833333333333,0.123777777777778,0.0531111111111111,0.0233333333333333,0.00761111111111111,0.00205555555555556,0.00444444444444444,0.000722222222222222,0.00194444444444444,0.0233888888888889,0,0.00161111111111111,0.000555555555555556,0.000555555555555556,0,0,0,0,0.00383333333333333,5e-04,0,0.000111111111111111,0.000388888888888889,0.000222222222222222,0.00155555555555556,0,0
354,0.000166666666666667,0.814277777777778,0.0885,0.0459444444444444,0.0157777777777778,0.00511111111111111,0.00138888888888889,0.00244444444444444,0.000722222222222222,0.0015,0.0162777777777778,0,0.00144444444444444,0.000222222222222222,0.000333333333333333,0,0,0,0,0.00377777777777778,0.000555555555555556,0,0.000166666666666667,0.000222222222222222,0.000111111111111111,0.000944444444444444,5.55555555555556e-05,0
355,0,0.855166666666667,0.0633333333333333,0.0412222222222222,0.0095,0.00433333333333333,0.00138888888888889,0.001,0.000944444444444444,0.000555555555555556,0.0151666666666667,0,0.00127777777777778,0,0.000111111111111111,0,0,0,0,0.004,0.000222222222222222,0,0.000166666666666667,0.000388888888888889,0.000222222222222222,0.000833333333333333,0.000111111111111111,0
356,5e-04,0.580888888888889,0.244944444444444,0.0903333333333333,0.0191666666666667,0.0103333333333333,0.00344444444444444,0.00327777777777778,0.000666666666666667,0.00311111111111111,0.0292777777777778,0.000111111111111111,0.00222222222222222,0.000111111111111111,5.55555555555556e-05,0.000111111111111111,0,0.000166666666666667,0,0.00511111111111111,0.002,0.000111111111111111,0,0.00155555555555556,0.000388888888888889,0.002,0,0
357,0.000222222222222222,0.607444444444444,0.261,0.0675555555555555,0.0166111111111111,0.00861111111111111,0.00222222222222222,0.00394444444444444,0.000833333333333333,0.00238888888888889,0.0187222222222222,0.000333333333333333,0.00166666666666667,0,0.000166666666666667,5.55555555555556e-05,0,0.000222222222222222,5.55555555555556e-05,0.00316666666666667,0.00105555555555556,5.55555555555556e-05,0,0.00116666666666667,0.000222222222222222,0.00177777777777778,0,0
