"Time","Enterobacterales_A_737866","Lactobacillales","Veillonellales","Bacteroidales","Oscillospirales","Lachnospirales","Acidaminococcales","Burkholderiales_595427","Erysipelotrichales","Desulfovibrionales","UBA1381","Gammaproteobacteria_Class","Haloplasmatales_A","Peptostreptococcales","Fusobacteriales_993521","Tissierellales","Clostridiales","Christensenellales","Verrucomicrobiales","Bacteria_Kingdom","Selenomonadales","Coriobacteriales"
47,0.000222222222222222,0.000277777777777778,5.55555555555556e-05,0.557888888888889,0.106333333333333,0.151666666666667,0.0458333333333333,0.0252777777777778,0.00305555555555556,0.00983333333333333,0.000166666666666667,0.00444444444444444,0.000111111111111111,0,0,0,5.55555555555556e-05,0,0,0.0941666666666667,0.000555555555555556,0
48,0,0,0,0.535055555555556,0.0674444444444444,0.131888888888889,0.041,0.0269444444444444,0.00183333333333333,0.0111111111111111,0.000277777777777778,0.00611111111111111,0.000222222222222222,0,0,0,0.000111111111111111,0,5.55555555555556e-05,0.177111111111111,0.000722222222222222,0
49,0,0,0,0.517722222222222,0.0643888888888889,0.0888333333333333,0.0386666666666667,0.00144444444444444,5e-04,0.00483333333333333,0.000277777777777778,0.000277777777777778,0,0,0.000222222222222222,0.000222222222222222,0,0,0,0.280555555555556,0.000222222222222222,0
50,0,0,0,0.638722222222222,0.0688888888888889,0.141333333333333,0.0404444444444444,0.00288888888888889,0.00311111111111111,0.0045,0,0.000388888888888889,5.55555555555556e-05,0.000222222222222222,0,0.000166666666666667,0.000111111111111111,0,0,0.0986666666666667,0.000388888888888889,0
51,0,0,0.000166666666666667,0.645166666666667,0.0926111111111111,0.117,0.0433888888888889,0.0055,0.00661111111111111,0.00355555555555556,0,0.000833333333333333,5.55555555555556e-05,0.000111111111111111,0.000111111111111111,0,0,0,0.000277777777777778,0.0842777777777778,0.000222222222222222,5.55555555555556e-05
52,0,0.000277777777777778,0.000166666666666667,0.621555555555556,0.0867777777777778,0.108833333333333,0.0606111111111111,0.00627777777777778,0.00616666666666667,0.00683333333333333,0,0.000944444444444444,5.55555555555556e-05,0.000388888888888889,5.55555555555556e-05,0.000166666666666667,0,0,0.000222222222222222,0.100166666666667,0.000277777777777778,0.000166666666666667
53,0,0.000888888888888889,0,0.606,0.0757222222222222,0.102055555555556,0.0697222222222222,0.00561111111111111,0.00477777777777778,0.0108888888888889,0,0.00111111111111111,5.55555555555556e-05,0.000666666666666667,0,0.000333333333333333,0,0,0,0.121888888888889,5.55555555555556e-05,0.000222222222222222
54,0.000666666666666667,0.000722222222222222,0,0.678,0.0953333333333333,0.155333333333333,0.0213888888888889,0.0121666666666667,0.00272222222222222,0.0055,0.00294444444444444,0.00244444444444444,5e-04,0.000944444444444444,0,0,5.55555555555556e-05,0,0,0.0211666666666667,0.000111111111111111,0
55,0.000444444444444444,0.00272222222222222,0.000222222222222222,0.560777777777778,0.134277777777778,0.202555555555556,0.016,0.00727777777777778,0.0174444444444444,0.00605555555555556,0.00761111111111111,0.000944444444444444,0.000277777777777778,0.000833333333333333,0.000111111111111111,0.000166666666666667,0.000444444444444444,0,0,0.0407222222222222,0.000111111111111111,0.000944444444444444
56,0.000333333333333333,0.00555555555555556,0.000444444444444444,0.462388888888889,0.158944444444444,0.242111111111111,0.014,0.00238888888888889,0.0304444444444444,0.00616666666666667,0.0115555555555556,0.000333333333333333,0.000222222222222222,0.00116666666666667,0.000111111111111111,0.000555555555555556,0.00116666666666667,0,0,0.0596666666666667,0.000166666666666667,0.00205555555555556
57,0,0.000777777777777778,0,0.629333333333333,0.0913333333333333,0.130611111111111,0.0409444444444444,0.0128888888888889,0.00672222222222222,0.00616666666666667,0.00427777777777778,0.00238888888888889,0.000388888888888889,0.000277777777777778,0,0,0,0,0.00733333333333333,0.0656666666666667,0.000444444444444444,0.000444444444444444
58,0.000166666666666667,0.000611111111111111,0.000166666666666667,0.601388888888889,0.103,0.182388888888889,0.0430555555555556,0.0205,0.00811111111111111,0.00583333333333333,0.00722222222222222,0.0035,0.000222222222222222,0.000222222222222222,0.00133333333333333,0.000277777777777778,0.000111111111111111,0,0.0116666666666667,0.00916666666666667,0.000722222222222222,0.000166666666666667
59,0.000166666666666667,0.000444444444444444,0.000166666666666667,0.6185,0.0906111111111111,0.165222222222222,0.0432777777777778,0.0204444444444444,0.00727777777777778,0.00638888888888889,0.006,0.00316666666666667,0.000111111111111111,0.000166666666666667,0.00105555555555556,0.000222222222222222,0.000111111111111111,0,0.0242777777777778,0.0111111111111111,0.000833333333333333,0.000166666666666667
60,0.000168199147790985,0.000392464678178964,0.00011213276519399,0.627719219555954,0.0738394258802422,0.171058533303431,0.0418255214173582,0.0293787844808253,0.00599910293787845,0.0065597667638484,0.00398071316438663,0.00532630634671451,0.000280331912984974,0.00252298721686477,0.000728862973760933,0.00011213276519399,0.000560663825969948,0,0.0196793002915452,0.00880242206772819,0.000616730208566943,0.000168199147790985
61,0.000279049001004576,0.000390668601406407,0.000167429400602746,0.617423819622726,0.0543029355954906,0.196171447706217,0.0381739033374261,0.0455407969639469,0.00468802321687688,0.006585556423708,0.00161848420582654,0.00932023663355285,0.000558098002009153,0.00714365442571716,0.000390668601406407,5.58098002009153e-05,0.00156267440562563,0,0.0108271012389776,0.00429735461547048,0.000167429400602746,0.000167429400602746
62,0.000388888888888889,0.000444444444444444,0.000277777777777778,0.607444444444444,0.0448333333333333,0.211944444444444,0.0362222222222222,0.0540555555555556,0.00416666666666667,0.00683333333333333,0.000611111111111111,0.0114444444444444,0.000777777777777778,0.00961111111111111,0.000277777777777778,0.000111111111111111,0.00216666666666667,0,0.00605555555555556,0.00194444444444444,0,0.000166666666666667
63,0.000277777777777778,0.000333333333333333,0.000166666666666667,0.605611111111111,0.0503888888888889,0.209277777777778,0.0371666666666667,0.0512222222222222,0.00438888888888889,0.00733333333333333,0.00116666666666667,0.011,0.000611111111111111,0.00938888888888889,0.000333333333333333,0,0.00188888888888889,0,0.00716666666666667,0.002,0,0.000111111111111111
64,0.000222222222222222,0.000333333333333333,0.000222222222222222,0.604722222222222,0.0551111111111111,0.206611111111111,0.0380555555555556,0.048,0.0045,0.00694444444444444,0.00211111111111111,0.0101666666666667,0.000611111111111111,0.0085,0.000388888888888889,5.55555555555556e-05,0.00155555555555556,0,0.00955555555555555,0.00205555555555556,0.000111111111111111,0
65,0.000222222222222222,0.000166666666666667,0.000222222222222222,0.605333333333333,0.0598333333333333,0.201111111111111,0.0375,0.0461111111111111,0.00455555555555556,0.00633333333333333,0.00433333333333333,0.00927777777777778,0.000333333333333333,0.00672222222222222,0.000444444444444444,0.000111111111111111,0.00122222222222222,0,0.0129444444444444,0.00272222222222222,0.000166666666666667,0.000111111111111111
66,0.000222222222222222,0.000166666666666667,0.000166666666666667,0.606944444444445,0.064,0.195722222222222,0.0372777777777778,0.0405555555555556,0.005,0.006,0.00611111111111111,0.00861111111111111,0.000388888888888889,0.00538888888888889,0.000555555555555556,0.000111111111111111,0.00116666666666667,0,0.0176666666666667,0.00322222222222222,0.000388888888888889,5.55555555555556e-05
67,0.000111111111111111,0.000166666666666667,0,0.616833333333333,0.0637777777777778,0.189111111111111,0.0365555555555556,0.0348888888888889,0.00488888888888889,0.00527777777777778,0.00811111111111111,0.00838888888888889,0.000277777777777778,0.00388888888888889,0.000444444444444444,0.000111111111111111,0.000722222222222222,0,0.0217777777777778,0.00383333333333333,0.000444444444444444,5.55555555555556e-05
68,0.000111111111111111,0.000166666666666667,0.000166666666666667,0.621444444444444,0.0677222222222222,0.180611111111111,0.0371111111111111,0.0307222222222222,0.00483333333333333,0.00472222222222222,0.00955555555555555,0.0065,0.000166666666666667,0.00305555555555556,5e-04,0.000166666666666667,5e-04,0,0.0265,0.00433333333333333,0.000722222222222222,0
69,0.000111111111111111,0.000111111111111111,0.000111111111111111,0.626888888888889,0.0696666666666667,0.173333333333333,0.0370555555555556,0.0281666666666667,0.00572222222222222,0.00427777777777778,0.0117777777777778,0.00566666666666667,5.55555555555556e-05,0.00183333333333333,0.000444444444444444,0.000222222222222222,0.000111111111111111,0,0.0292777777777778,0.00411111111111111,0.000722222222222222,0
70,5.55555555555556e-05,5.55555555555556e-05,0.000222222222222222,0.635333333333333,0.0692222222222222,0.167111111111111,0.0371666666666667,0.0237222222222222,0.00566666666666667,0.004,0.0121111111111111,0.00494444444444444,0,0.00138888888888889,0.000555555555555556,0.000111111111111111,5.55555555555556e-05,0,0.0321666666666667,0.005,0.000722222222222222,0
71,0.000166666666666667,5.55555555555556e-05,0.000333333333333333,0.6385,0.0709444444444444,0.160388888888889,0.0383888888888889,0.0219444444444444,0.00588888888888889,0.00466666666666667,0.0135,0.00316666666666667,0,0.00127777777777778,0.000611111111111111,0.000166666666666667,0,0,0.0341666666666667,0.00455555555555556,0.000888888888888889,0
72,0.00216666666666667,5e-04,5e-04,0.766555555555556,0.0488888888888889,0.0885,0.0443888888888889,0.0207222222222222,0.00283333333333333,0.00461111111111111,0.000444444444444444,0.00161111111111111,0.00105555555555556,0.00272222222222222,0.000111111111111111,0.000888888888888889,0.000444444444444444,0,0.0110555555555556,0.00133333333333333,0.000333333333333333,0
73,0.00177777777777778,0.000277777777777778,0.000277777777777778,0.766777777777778,0.0537222222222222,0.0835555555555555,0.0446666666666667,0.0197777777777778,0.00244444444444444,0.00522222222222222,0.000555555555555556,0.00155555555555556,0.001,0.00272222222222222,0,0.000722222222222222,5e-04,0,0.0123333333333333,0.00144444444444444,0.000277777777777778,0
74,0.00177777777777778,0.000333333333333333,0.000277777777777778,0.760111111111111,0.0573333333333333,0.0819444444444444,0.0442222222222222,0.0198333333333333,0.00238888888888889,0.00661111111111111,0.000444444444444444,0.00161111111111111,0.00105555555555556,0.00244444444444444,5.55555555555556e-05,0.000722222222222222,0.000444444444444444,0,0.0165,0.00127777777777778,0.000222222222222222,0
75,0.00144444444444444,0.000333333333333333,0.000222222222222222,0.751,0.0617222222222222,0.0832222222222222,0.0442777777777778,0.0183888888888889,0.00255555555555556,0.00761111111111111,0.000611111111111111,0.00177777777777778,0.000944444444444444,0.00255555555555556,0,0.000555555555555556,5e-04,0,0.0198888888888889,0.00183333333333333,0.000166666666666667,0
76,0.00133333333333333,0.000333333333333333,0.000166666666666667,0.736833333333333,0.0678333333333333,0.0813888888888889,0.0451666666666667,0.0177222222222222,0.00238888888888889,0.00983333333333333,0.000555555555555556,0.00155555555555556,0.000833333333333333,0.00216666666666667,0,0.000388888888888889,0.000722222222222222,0,0.0279444444444444,0.00244444444444444,0.000222222222222222,0
77,0.001,0.000222222222222222,5.55555555555556e-05,0.721555555555556,0.0741666666666667,0.0828333333333333,0.0437777777777778,0.0157777777777778,0.0025,0.0124444444444444,0.000777777777777778,0.00166666666666667,0.000833333333333333,0.00238888888888889,0,0.000388888888888889,0.000777777777777778,0,0.0352222222222222,0.00327777777777778,0.000111111111111111,5.55555555555556e-05
78,0.000888888888888889,0.000333333333333333,0.000111111111111111,0.708777777777778,0.0798333333333333,0.0815555555555556,0.0437222222222222,0.0147777777777778,0.002,0.0147222222222222,0.000722222222222222,0.00166666666666667,0.000722222222222222,0.002,0,0.000166666666666667,0.000833333333333333,0,0.0424444444444444,0.00433333333333333,0.000166666666666667,0.000111111111111111
79,0.000611111111111111,0.000222222222222222,0,0.695555555555556,0.0845555555555556,0.0853888888888889,0.0412222222222222,0.0129444444444444,0.002,0.0167777777777778,0.000888888888888889,0.00172222222222222,0.000611111111111111,0.00188888888888889,0,0,0.000888888888888889,0,0.0485555555555556,0.00594444444444444,0.000166666666666667,0
80,0.000388888888888889,0.000222222222222222,0,0.685,0.0896666666666667,0.0843333333333333,0.0407222222222222,0.011,0.00205555555555556,0.0185,0.000833333333333333,0.0015,0.000444444444444444,0.00166666666666667,0,0,0.000944444444444444,0,0.0545,0.00788888888888889,0.000166666666666667,0.000166666666666667
81,0.000166666666666667,0.000277777777777778,0,0.676222222222222,0.0942222222222222,0.0875555555555556,0.0380555555555556,0.00833333333333333,0.00211111111111111,0.0195,0.000944444444444444,0.00166666666666667,0.000333333333333333,0.00188888888888889,0,0,0.001,0,0.0566111111111111,0.0106666666666667,0.000166666666666667,0.000277777777777778
82,0,0.000277777777777778,0.000222222222222222,0.614944444444444,0.0581666666666667,0.1225,0.0235555555555556,0.00233333333333333,0.00422222222222222,0.0208333333333333,0.000611111111111111,0.000111111111111111,0,0.000888888888888889,0.00166666666666667,0.000222222222222222,0,0,0.0307222222222222,0.117277777777778,0.000222222222222222,0.00111111111111111
83,0.000722222222222222,0.00111111111111111,0.000277777777777778,0.730444444444444,0.0876666666666667,0.105333333333333,0.0426666666666667,0.00994444444444444,0.00311111111111111,0.00333333333333333,0.00327777777777778,0.00216666666666667,5.55555555555556e-05,0.000833333333333333,0,0.000166666666666667,0,0,0.00777777777777778,0.001,0.000111111111111111,0
84,0.00522222222222222,0.001,0.00127777777777778,0.710055555555556,0.107722222222222,0.109666666666667,0.0184444444444444,0.0223888888888889,0.00516666666666667,0.00133333333333333,0.00238888888888889,0.00361111111111111,0.000222222222222222,0.00105555555555556,0,0,0,0,0.000333333333333333,0.00961111111111111,0.000277777777777778,0.000222222222222222
85,0.000333333333333333,0.00183333333333333,0,0.659555555555556,0.0970555555555556,0.113555555555556,0.0599444444444444,0.0263333333333333,0.00277777777777778,0.00361111111111111,0.00194444444444444,0.00383333333333333,0.000111111111111111,0.00605555555555556,0,0,0.000111111111111111,0,0.0212777777777778,0.000777777777777778,0.000666666666666667,0.000111111111111111
86,0.000111111111111111,0.00161111111111111,0,0.667888888888889,0.0924444444444444,0.112388888888889,0.0577222222222222,0.0262777777777778,0.00261111111111111,0.00433333333333333,0.00205555555555556,0.004,0.000166666666666667,0.00577777777777778,0,0,0.000166666666666667,0,0.021,0.000611111111111111,0.000666666666666667,0.000111111111111111
87,5.55555555555556e-05,0.00111111111111111,0,0.6835,0.0838888888888889,0.1125,0.0535555555555556,0.025,0.00244444444444444,0.00466666666666667,0.00333333333333333,0.00416666666666667,0.000388888888888889,0.00455555555555556,0,0,0.000222222222222222,0,0.0191111111111111,0.000333333333333333,0.000777777777777778,0.000111111111111111
88,0,0.000833333333333333,5.55555555555556e-05,0.701333333333333,0.0767222222222222,0.113944444444444,0.0457222222222222,0.0241111111111111,0.0025,0.00477777777777778,0.00416666666666667,0.00422222222222222,5e-04,0.003,0,0,0.000388888888888889,0,0.0163888888888889,0.000333333333333333,0.000611111111111111,0.000111111111111111
