"Time","Pasteurellaceae","Streptococcaceae","Veillonellaceae","Bacteroidaceae","Ruminococcaceae","Muribaculaceae","Lachnospiraceae","Acidaminococcaceae","Burkholderiaceae_A_595427","Coprobacillaceae","Desulfovibrionaceae","Oscillospiraceae_88309","UBA1381","Butyricicoccaceae","Gammaproteobacteria_Class","Turicibacteraceae","Peptostreptococcaceae_256921","Erysipelotrichaceae","Acutalibacteraceae","Fusobacteriaceae_993521","Peptoniphilaceae","Clostridiaceae_222000","CAG-74","Akkermansiaceae","Anaerotignaceae","Dialisteraceae","Bacteria_Kingdom","Porphyromonadaceae","Massilibacillaceae","Rikenellaceae","Eggerthellaceae","Oscillospirales_Order"
12,0,0.000611111111111111,0,0.727777777777778,0.0221666666666667,0,0.0993888888888889,0.0488333333333333,0,0.000166666666666667,0.0134444444444444,0.00788888888888889,0,0.000555555555555556,0,5.55555555555556e-05,0.00205555555555556,0,0.00266666666666667,0,0,0,0,0.0555,0.001,0,0.0166666666666667,0,0.000111111111111111,0,0,0.00111111111111111
13,0.000111111111111111,0.000833333333333333,0.000611111111111111,0.722222222222222,0.0382777777777778,0,0.0853333333333333,0.0345,0,0.000611111111111111,0.00961111111111111,0.00855555555555556,0,0.000833333333333333,0,0,0.00222222222222222,0.000111111111111111,0.00238888888888889,0,0.000111111111111111,0,0,0.0391666666666667,0.00127777777777778,5.55555555555556e-05,0.0527777777777778,0.000222222222222222,0,0,0,0.000166666666666667
14,0,0.000222222222222222,0.000111111111111111,0.745833333333333,0.038,0,0.0887777777777778,0.0204444444444444,0,0.000111111111111111,0.00644444444444444,0.00561111111111111,0,0.000222222222222222,0,0,0.001,0.000222222222222222,0.000722222222222222,0.003,0.000333333333333333,0,0,0.0431666666666667,0.00111111111111111,5e-04,0.042,0.000722222222222222,0,0,0,0.000833333333333333
15,5.55555555555556e-05,0.000611111111111111,0.000111111111111111,0.673388888888889,0.0581111111111111,0.000111111111111111,0.163944444444444,0.0442777777777778,0,5e-04,0.00194444444444444,0.00411111111111111,0,0.000888888888888889,0,0,0.000666666666666667,0.000388888888888889,0.000555555555555556,0.000888888888888889,0.000222222222222222,0,0,0.0392777777777778,0.003,5.55555555555556e-05,0.00622222222222222,0.000333333333333333,0,0,0,0.000222222222222222
16,0,0,0,0.673611111111111,0.0354444444444444,0.000111111111111111,0.0744444444444444,0.0442777777777778,0,0.000277777777777778,0.00411111111111111,0.00461111111111111,0,0.002,0,0,0.000444444444444444,0.000611111111111111,0.00361111111111111,0.000388888888888889,0.000611111111111111,0,0,0.0341111111111111,0.00338888888888889,0.000111111111111111,0.116388888888889,0.00116666666666667,0,0,0,0.000166666666666667
17,0,0.000111433028749721,0,0.716792957432583,0.0365500334299086,0.000167149543124582,0.0753287274348117,0.0427345665255182,0,0.000501448629373746,0.00679741475373301,0.0126476487630934,0,0.0012814798306218,0,0.000111433028749721,0.000390015600624025,0.000557165143748607,0.00289725874749276,0.000390015600624025,0.000334299086249164,5.57165143748607e-05,0,0.0261867617561845,0.00323155783374192,0.000111433028749721,0.0676955649654558,0.00105861377312235,0,0,0,0.00367728994874081
18,0,0.000277777777777778,0,0.756222222222222,0.0376666666666667,0.000277777777777778,0.0801111111111111,0.0393888888888889,0,0.000777777777777778,0.00844444444444445,0.0203888888888889,0,0.000611111111111111,0,0.000222222222222222,0.000333333333333333,0.000555555555555556,0.00172222222222222,0.000611111111111111,0.000111111111111111,0.000111111111111111,0,0.0210555555555556,0.00327777777777778,0.000444444444444444,0.0186666666666667,0.000888888888888889,0,0,0,0.00716666666666667
19,0,0.000333333333333333,0,0.743388888888889,0.0164444444444444,0.000166666666666667,0.0873333333333333,0.0347777777777778,0,0.000722222222222222,0.00588888888888889,0.0144444444444444,0,0.00127777777777778,0,0,0,0.000833333333333333,0.000111111111111111,0.00183333333333333,0.000611111111111111,0,0,0.0409444444444444,0.00627777777777778,0.000722222222222222,0.0376111111111111,0.001,0,0,0,0.00405555555555556
20,0.000222222222222222,0.000388888888888889,0.000111111111111111,0.781055555555556,0.0283333333333333,0.000388888888888889,0.1195,0.0378333333333333,0,0.000277777777777778,0.00388888888888889,0.00611111111111111,0,0.000277777777777778,0,0,5.55555555555556e-05,0.000388888888888889,0,5.55555555555556e-05,0,0,0,0.0121111111111111,0.00377777777777778,0,0.00344444444444444,0,0,0,0,0.00177777777777778
21,0,0,0,0.684333333333333,0.0227777777777778,0.000111111111111111,0.156777777777778,0.0383888888888889,0,0.000944444444444444,0.0105555555555556,0.0235555555555556,0,0.001,0,0,0,0.000833333333333333,0,0,0,0,0,0.0385555555555556,0.00777777777777778,0,0.00666666666666667,0,0,0,0,0.00772222222222222
22,5.55555555555556e-05,0.000111111111111111,0.000166666666666667,0.692333333333333,0.0552222222222222,0.000222222222222222,0.103666666666667,0.0317222222222222,0.00633333333333333,0.00161111111111111,0.00766666666666667,0.00716666666666667,0,5e-04,0.00105555555555556,0,0.000333333333333333,0.00144444444444444,0.00183333333333333,0.0263333333333333,0.00444444444444444,0,0,0,0.00344444444444444,0.00211111111111111,0.0441666666666667,0.00283333333333333,0.000166666666666667,0.000388888888888889,0.000277777777777778,0.000611111111111111
23,0,0.000166666666666667,0,0.709666666666667,0.0107222222222222,0.000166666666666667,0.0585555555555556,0.0316111111111111,0,0.000277777777777778,0.0313888888888889,0.0210555555555556,0,0.000333333333333333,0,0,0.000555555555555556,0.000666666666666667,0.00105555555555556,0.000388888888888889,0,0,0,0.0686666666666667,0.00394444444444444,0.000222222222222222,0.0457777777777778,0.000333333333333333,0,0,0,0.00722222222222222
