"Time","Veillonellaceae","Streptococcaceae","Moraxellaceae","Dialisteraceae","Lactobacillaceae","Burkholderiaceae_A_592522","Bacteroidaceae","Lachnospiraceae","Ruminococcaceae","Coprobacillaceae","Peptostreptococcaceae_256921","Oscillospiraceae_88309","Acidaminococcaceae","Butyricicoccaceae","Eggerthellaceae","Muribaculaceae","Clostridia_258483_Class","UBA1381","CAG-138","CAG-74","Anaerotignaceae","UBA660","Xanthomonadaceae_616009","Gammaproteobacteria_Class","Rikenellaceae","Monoglobaceae","Akkermansiaceae","Enterobacteriaceae_A","Bacteria_Kingdom","Clostridiaceae_222000","Erysipelotrichaceae","Acutalibacteraceae","Anaerovoracaceae","CAG-272","Oscillospirales_Order","CAG-382","Peptoniphilaceae","CAG-508","Massilibacillaceae"
147,0.000388888888888889,0.000277777777777778,0,0,0.000111111111111111,0.00194444444444444,0.633055555555556,0.0923888888888889,0.1445,0.00244444444444444,0.000333333333333333,0.0247777777777778,0.0185,0.00194444444444444,0.00455555555555556,0.0216666666666667,0.00155555555555556,0.00383333333333333,0,0.000444444444444444,0.00172222222222222,0.00177777777777778,0,0,0.00722222222222222,0.000222222222222222,0.003,0,0.00277777777777778,0,0.000333333333333333,0.024,0.000888888888888889,0.000388888888888889,0.000611111111111111,0.000166666666666667,0,0.00327777777777778,0
148,0,0.000722222222222222,0.000888888888888889,0,0,0.000722222222222222,0.4955,0.136777777777778,0.214222222222222,0.0108888888888889,0.001,0.0181111111111111,0.0215555555555556,0.005,0.00505555555555556,0.0135,0.00505555555555556,0.00405555555555556,0.000277777777777778,0.000555555555555556,0.000833333333333333,0.00155555555555556,0,0.000166666666666667,0.00455555555555556,0.000277777777777778,0.0144444444444444,0,0.00294444444444444,0,0,0.0367222222222222,0.00105555555555556,0,0.000444444444444444,5.55555555555556e-05,0,0.00194444444444444,0
149,0.000111111111111111,0.00138888888888889,0,0,0.000111111111111111,0,0.343388888888889,0.1915,0.2475,0.0112777777777778,0.00116666666666667,0.0281666666666667,0.0197777777777778,0.0112222222222222,0.00938888888888889,0.0198888888888889,0.00594444444444444,0.00727777777777778,5.55555555555556e-05,0.00144444444444444,0.00255555555555556,0.00266666666666667,0,0.000277777777777778,0.00561111111111111,0.00327777777777778,0.00372222222222222,0,0.0025,0,0.000222222222222222,0.0736111111111111,0.00116666666666667,0.000611111111111111,0.000611111111111111,5.55555555555556e-05,0,0.00272222222222222,0
150,0.00322222222222222,5e-04,0.00105555555555556,0,5.55555555555556e-05,0.00861111111111111,0.411111111111111,0.163722222222222,0.202666666666667,0.00433333333333333,5e-04,0.0371111111111111,0.0190555555555556,0.00861111111111111,0.0118888888888889,0.0188888888888889,0.00438888888888889,0.004,0.000222222222222222,0.00122222222222222,0.00227777777777778,0.00533333333333333,0,0.000444444444444444,0.00872222222222222,0.00277777777777778,0.00688888888888889,0,0.00372222222222222,5.55555555555556e-05,0.000111111111111111,0.0492222222222222,0.00155555555555556,0.000111111111111111,0.00122222222222222,5e-04,0,0.00311111111111111,0
151,0,0.000444444444444444,0.000388888888888889,0,0,0.000388888888888889,0.380333333333333,0.193388888888889,0.214444444444444,0.0120555555555556,0.00394444444444444,0.0195,0.0147777777777778,0.00522222222222222,0.00633333333333333,0.0167222222222222,0.00305555555555556,0.00377777777777778,5.55555555555556e-05,0.00133333333333333,0.00111111111111111,0.00438888888888889,0,0.000388888888888889,0.00505555555555556,0.0015,0.00333333333333333,0.000166666666666667,0.00222222222222222,0.000888888888888889,0.000111111111111111,0.0968888888888889,0.000888888888888889,0.000444444444444444,5e-04,0.000111111111111111,0,0.00455555555555556,0
152,0.000277777777777778,0.00122222222222222,0.000166666666666667,0,0,0.000611111111111111,0.465333333333333,0.159666666666667,0.164222222222222,0.0155555555555556,0.00238888888888889,0.00894444444444444,0.00738888888888889,0.00688888888888889,0.00133333333333333,0.00977777777777778,0.00238888888888889,0.00222222222222222,0,0.000444444444444444,0.000666666666666667,0.002,0.000222222222222222,0.000111111111111111,0.00288888888888889,5e-04,0.00144444444444444,0.0252222222222222,0.00361111111111111,0.0125555555555556,0.000222222222222222,0.0436666666666667,0.000555555555555556,0.000222222222222222,0.000111111111111111,5.55555555555556e-05,5.55555555555556e-05,0.00194444444444444,0
153,0.00111111111111111,0.00266666666666667,0,0,0.000222222222222222,0.00116666666666667,0.511277777777778,0.124666666666667,0.120666666666667,0.0147777777777778,0.00183333333333333,0.00311111111111111,0.00238888888888889,0.00733333333333333,5e-04,0.00377777777777778,0.000777777777777778,0.000444444444444444,0,0.000222222222222222,0.000333333333333333,0.000166666666666667,0.000333333333333333,0,0.00116666666666667,0.000333333333333333,0.000555555555555556,0.059,0.00472222222222222,0.0227222222222222,0.000277777777777778,0.00433333333333333,0.000444444444444444,0,5.55555555555556e-05,0,0.000222222222222222,0.000222222222222222,0
154,0.00683333333333333,0.0101666666666667,0.00672222222222222,5.55555555555556e-05,0.0556111111111111,0.000611111111111111,0.352444444444444,0.0832222222222222,0.0847777777777778,0.0124444444444444,0.00372222222222222,0.00322222222222222,0.00172222222222222,0.00438888888888889,5e-04,0.00244444444444444,0.00105555555555556,0.000277777777777778,0,0.000444444444444444,5e-04,0.000166666666666667,0.000277777777777778,0,0.000944444444444444,0,0.000777777777777778,0.108,0.0185,0.065,0.000111111111111111,0.00561111111111111,0.000277777777777778,0,0.000166666666666667,0,0.00133333333333333,0.000388888888888889,0
155,0.0240555555555556,0.0248333333333333,0.0161111111111111,0.000277777777777778,0.148944444444444,0.000111111111111111,0.0955555555555556,0.0232222222222222,0.0287777777777778,0.00672222222222222,0.00688888888888889,0.00466666666666667,0.00244444444444444,0.000111111111111111,5e-04,0.00188888888888889,0.00188888888888889,0.000166666666666667,0,0.000388888888888889,0.000222222222222222,0.000333333333333333,0,0,0.00111111111111111,0,0.000777777777777778,0.1645,0.0679444444444444,0.1315,0.000166666666666667,0.00627777777777778,0.000111111111111111,0,0.000111111111111111,0,0.00372222222222222,0.000333333333333333,0
156,0.0369444444444444,5e-04,0.000166666666666667,0,0.00116666666666667,5.55555555555556e-05,0.605944444444444,0.0192222222222222,0.0846666666666667,0.00616666666666667,0.00166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143888888888889,0.120333333333333,0.0598888888888889,0,0,0,0,0,0,0,0,0
157,0.0438888888888889,0,0.000666666666666667,0,5.55555555555556e-05,0.000388888888888889,0.740666666666667,0.0436111111111111,0.0943333333333333,0.000333333333333333,5.55555555555556e-05,0,0.000111111111111111,0.000166666666666667,5.55555555555556e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00677777777777778,0.0588888888888889,0.00394444444444444,0,0,0,0,0,0,0,0,0
158,0.0430555555555556,0.000388888888888889,0,0.000333333333333333,0.000111111111111111,0,0.677777777777778,0.0473333333333333,0.135777777777778,0.00122222222222222,0.000222222222222222,0.00133333333333333,0.00205555555555556,0.000722222222222222,0.000333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.00183333333333333,0.0798888888888889,0.00122222222222222,0.000111111111111111,5.55555555555556e-05,0,0,0,0,0,0,0
159,0.0075,0.00105555555555556,0.000555555555555556,0.000833333333333333,0.00505555555555556,0,0.523388888888889,0.105555555555556,0.0887777777777778,0.00633333333333333,5.55555555555556e-05,0.00466666666666667,0.00822222222222222,0.000666666666666667,0.000388888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243944444444444,0.000611111111111111,5.55555555555556e-05,0.000222222222222222,0,0,0,0,0.001,0,0
160,0.00383333333333333,0.000333333333333333,5.55555555555556e-05,0.00283333333333333,0.00122222222222222,0.000777777777777778,0.522166666666667,0.159,0.203888888888889,0.00888888888888889,5e-04,0.0075,0.0228888888888889,0.00238888888888889,0.00105555555555556,0,0,0,0,0,0.000555555555555556,0,0,0,0.000222222222222222,0,0,0,0.0550555555555556,5e-04,0.00438888888888889,5.55555555555556e-05,0.001,0,0,0,0,0,0
