"Time","Pasteurellaceae","Streptococcaceae","Bacteroidaceae","Ruminococcaceae","Muribaculaceae","Lachnospiraceae","Tannerellaceae","Acidaminococcaceae","Acutalibacteraceae","Oscillospiraceae_88309","Burkholderiaceae_A_595427","Coprobacillaceae","Desulfovibrionaceae","Marinifilaceae","Rikenellaceae","Butyricicoccaceae","UBA1381","Clostridia_258483_Class","Anaerotignaceae","CAG-274","CAG-508","Clostridiaceae_222000","Gammaproteobacteria_Class","Oscillospirales_Order","Coprobacteraceae","Turicibacteraceae","Peptostreptococcaceae_256921","Erysipelotrichaceae","UBA11471","Eggerthellaceae","Christensenellales_Order","Peptoniphilaceae","Mycobacteriaceae","Enterobacteriaceae_A","Negativicoccaceae","Dialisteraceae","Actinomycetaceae","CAG-138","UBA660","CAG-74","Akkermansiaceae","CAG-272","Porphyromonadaceae","Atopobiaceae","Anaerovoracaceae","Campylobacteraceae","Bacteria_Kingdom","DTU023","Fusobacteriaceae_993521"
367,0,0.000222222222222222,0.726277777777778,0.0568333333333333,0.0153333333333333,0.049,0.0498333333333333,0.00755555555555556,0.0157222222222222,0.0268333333333333,0.00255555555555556,0.00194444444444444,0.00294444444444444,0.00627777777777778,0.00638888888888889,5e-04,0.00127777777777778,0.00105555555555556,0.00116666666666667,0.00211111111111111,0.0157222222222222,0.000222222222222222,0.00105555555555556,0.000666666666666667,0.000555555555555556,0.000111111111111111,0,0.000555555555555556,0.000166666666666667,0,0.000611111111111111,0.000166666666666667,0,0,0,0,0,0.00344444444444444,0.000333333333333333,0.000666666666666667,0,0.000111111111111111,0,0,0.000444444444444444,0.000111111111111111,0.000833333333333333,0,0
368,0,0.000277777777777778,0.737722222222222,0.0421666666666667,0.0158888888888889,0.0429444444444444,0.0552777777777778,0.0025,0.0258333333333333,0.0331666666666667,0.0025,0.0015,0.00238888888888889,0.00588888888888889,0.0065,0.000444444444444444,0.000777777777777778,0.000555555555555556,0.00105555555555556,0.00188888888888889,0.0107777777777778,0.000611111111111111,0.000555555555555556,0.000666666666666667,0.000333333333333333,0,0,0.000722222222222222,0.000111111111111111,0,5e-04,0,0,0,0,0,0,0.00277777777777778,0.000611111111111111,0.001,0,0.000111111111111111,0,0,5.55555555555556e-05,0,0.00127777777777778,0,0
369,0,0.000222222222222222,0.757055555555556,0.0375,0.0138333333333333,0.0311666666666667,0.0412777777777778,0.00555555555555556,0.0407777777777778,0.0332222222222222,0.00294444444444444,0.000888888888888889,0.00772222222222222,0.00194444444444444,0.006,0.00144444444444444,5.55555555555556e-05,0.000277777777777778,0.000777777777777778,0.001,0.00866666666666667,0.000388888888888889,0.000555555555555556,0.000555555555555556,0,0,0,0.000111111111111111,0.000388888888888889,0,0,0,0,0,0,0,0,0.00233333333333333,0.000333333333333333,0.00116666666666667,0,0.000111111111111111,0,0,0.000777777777777778,0,0.000388888888888889,0,0
370,0,0.000111111111111111,0.651111111111111,0.0548333333333333,0.0425555555555556,0.0549444444444444,0.0788333333333333,0.00138888888888889,0.00988888888888889,0.0286666666666667,0.0015,0.00172222222222222,0.00216666666666667,0.0101111111111111,0.0169444444444444,0.000555555555555556,0.00116666666666667,0.000611111111111111,0.000777777777777778,5e-04,0.0169444444444444,0.000666666666666667,0.000888888888888889,0.00172222222222222,0.000388888888888889,0,5.55555555555556e-05,0.000277777777777778,0.00105555555555556,0.000166666666666667,0.000444444444444444,0,0,0,0,0,0,0.011,0.00266666666666667,0.00133333333333333,0,0.000277777777777778,0,0,0.000666666666666667,0,0.00194444444444444,0,0
371,0.000888888888888889,0.000333333333333333,0.566222222222222,0.103055555555556,0.0457222222222222,0.0702222222222222,0.0436111111111111,0.0108333333333333,0.0241111111111111,0.0360555555555556,0.00833333333333333,0.000944444444444444,0.00588888888888889,0.00888888888888889,0.0218333333333333,0.00111111111111111,0.000944444444444444,0.00166666666666667,0.000222222222222222,0.000777777777777778,0.0336111111111111,0.00205555555555556,0.00266666666666667,0.000444444444444444,0.000277777777777778,0.000111111111111111,0.000722222222222222,0.000166666666666667,0.00127777777777778,0,0.000388888888888889,0,0,0.00127777777777778,0,0,0,0,0,0.00111111111111111,0,5.55555555555556e-05,0,0,0.000111111111111111,0,0.00327777777777778,0,0
372,0,0,0.579166666666667,0.110055555555556,0.0293888888888889,0.0500555555555556,0.0752777777777778,0.00827777777777778,0.0190555555555556,0.0377777777777778,0.00538888888888889,0.00105555555555556,0.00416666666666667,0.00627777777777778,0.0143888888888889,0.000611111111111111,0.00116666666666667,0.000833333333333333,0.000611111111111111,0.00127777777777778,0.0237777777777778,0.000444444444444444,0.00116666666666667,0.00372222222222222,0,0,0.000111111111111111,0.000388888888888889,0.000777777777777778,0,0.000666666666666667,0.000111111111111111,0,0,0,0,0,0.0147777777777778,0.00122222222222222,0.00166666666666667,0,0.000944444444444444,0,0,0.000388888888888889,0.000166666666666667,0.00372222222222222,0,0
373,0.000277777777777778,0.000111111111111111,0.632444444444444,0.107777777777778,0.0223888888888889,0.049,0.0613333333333333,0.00405555555555556,0.0126111111111111,0.0272777777777778,0.0126111111111111,0.00144444444444444,0.00394444444444444,0.00372222222222222,0.0101111111111111,0.000111111111111111,0.00144444444444444,0.000555555555555556,0.000833333333333333,0.00127777777777778,0.0313333333333333,0.000555555555555556,0.00277777777777778,0.00144444444444444,0.000222222222222222,0,0.000444444444444444,0.000333333333333333,0.000388888888888889,0,0.000555555555555556,0,0,0,0,0,0,0.00355555555555556,0,0.00144444444444444,0,0.000777777777777778,0,0,0.000277777777777778,0,0.00194444444444444,0,0
374,5.55555555555556e-05,0.000111111111111111,0.195333333333333,0.0464444444444444,0.00361111111111111,0.0411666666666667,0.0108888888888889,0.00327777777777778,0.0186666666666667,0.0291666666666667,0.00644444444444444,0.00105555555555556,0.00327777777777778,0.000611111111111111,0.0025,0.001,5e-04,0.00166666666666667,0.000722222222222222,0.00161111111111111,0.00444444444444444,0.000444444444444444,0.001,0.00166666666666667,0,0,5e-04,0.000444444444444444,0,0.000833333333333333,0.000222222222222222,0.376944444444444,0.0183333333333333,0,0.00261111111111111,0.01,0.00166666666666667,0.00738888888888889,0.000222222222222222,0.00172222222222222,0,0.000444444444444444,0.121722222222222,0.000222222222222222,0.0323333333333333,0.0219444444444444,0.0136111111111111,0.0119444444444444,0
375,0,5.55555555555556e-05,0.366277777777778,0.104888888888889,0.00611111111111111,0.101166666666667,0.016,0.00677777777777778,0.0125555555555556,0.0349444444444444,0.00177777777777778,0.00211111111111111,0.006,0.000666666666666667,0.00322222222222222,0.001,0.000111111111111111,0.0015,0.000944444444444444,0.000944444444444444,0.00472222222222222,0.000444444444444444,0.000333333333333333,0.00116666666666667,5.55555555555556e-05,5.55555555555556e-05,0.000277777777777778,0.002,5.55555555555556e-05,0.000888888888888889,0.000388888888888889,0.164055555555556,0.00516666666666667,0,0.000444444444444444,0.0055,0.00238888888888889,0.00694444444444444,0.000277777777777778,0.00288888888888889,0.000333333333333333,5.55555555555556e-05,0.0352777777777778,0.000222222222222222,0.0231111111111111,0.0186111111111111,0.0503888888888889,0.00644444444444444,0
376,0,5.55555555555556e-05,0.675333333333333,0.0854444444444444,0.0113888888888889,0.0508888888888889,0.0620555555555556,0.00183333333333333,0.0108888888888889,0.0443333333333333,0.00361111111111111,0.00166666666666667,0.00205555555555556,0.00416666666666667,0.0145,0.000777777777777778,0.00127777777777778,0.00138888888888889,0.00105555555555556,0.000277777777777778,0.0105555555555556,0.00111111111111111,0.000833333333333333,0.00111111111111111,0.00122222222222222,0,0,0.000222222222222222,0.00222222222222222,5.55555555555556e-05,5e-04,0,0,0,0,0,0,0.00516666666666667,0,0.000944444444444444,0,0.000388888888888889,0,0,0.000388888888888889,0,0.00138888888888889,0,0
