"t","x_1","x_2","x_3","x_4"
77,0.0593202488511606,0.129524574596137,0.155190353533215,0.061360682155118
78,0.0148353504185103,0.114089433509303,0.15321145422262,0.0653167266160996
79,0.0083859761616855,0.0552079869354685,0.14889773005551,0.0643482987050746
80,0.00913778291524772,0.0256768201263932,0.149148370236178,0.0605804462304205
81,0.0134308392907881,0.0130198797383807,0.153004482372349,0.0600133281349391
82,0.0223022158436345,0.00803977848346699,0.154308157062528,0.0631491230294925
83,0.0383809204812137,0.00716930937698866,0.1512333788507,0.0648893389573437
84,0.0639212426922107,0.0119312083112487,0.149028903983872,0.0626160775716008
85,0.0846506788837647,0.0433812662400432,0.150899726357918,0.0603438999316851
86,0.0443354495182473,0.122226677755631,0.153599801192872,0.0614293961402806
87,0.015228126756305,0.0931088160881166,0.152914337556431,0.0639584345370318
88,0.0105714130685489,0.0475255693941039,0.150213515181372,0.0638574712588617
89,0.0122563884200476,0.0239653807175679,0.149877456825761,0.0615750094959868
90,0.0180855728679146,0.0136303698810195,0.152123562013449,0.0608376577052267
91,0.0293651168911834,0.0100038878210498,0.153292763304613,0.0625735835031908
92,0.0481450350050743,0.0114895856402823,0.151679945401028,0.0639162544532691
93,0.0710203789630715,0.0253036795495281,0.150066609095112,0.0628103934671729
94,0.0644233443846117,0.0801331925528152,0.150901300153816,0.0612461121157027
95,0.0266197950405116,0.105431436072927,0.15265740460541,0.0616246385839152
96,0.014124268352231,0.0651406084082855,0.15256348478278,0.0631913077156481
97,0.0132294861452692,0.0347293629989402,0.150937696291181,0.063418041398354
98,0.0172607329993092,0.0197160566946631,0.150444793069811,0.0620946363488834
99,0.0261344529461061,0.0136187566120342,0.151698190873094,0.0614207232567525
100,0.0411917530715061,0.0134528928075429,0.152613335486501,0.0623350114846781
101,0.0607767197048971,0.0226588416793587,0.151821357828298,0.0632946958127576
102,0.065122909932129,0.0590539480865987,0.150714896815741,0.0628119993862676
103,0.035602333480783,0.0973785850032559,0.151016758618748,0.0617885248450486
104,0.0182564891374892,0.0728625633842486,0.152116712969826,0.0618354277214084
105,0.0151318220889535,0.042141905111815,0.152256413054098,0.0627741665262481
106,0.0179758407580724,0.0247837274017867,0.15131496648286,0.0630780320887825
107,0.0255457859271658,0.0171338495415103,0.150852729043976,0.0623448220051569
108,0.0384858575612949,0.0161272486932058,0.151516728097965,0.0618128303252373
109,0.0550953021926511,0.0239271408769545,0.152178423310087,0.0622622915534424
110,0.0608304797607086,0.052380182754383,0.151826812221191,0.0629124625931644
111,0.0390505618023201,0.0867960981568996,0.151103976375206,0.0627429578745254
112,0.0215452372417848,0.0728418460811001,0.151155040167513,0.0621014160014268
113,0.0172508093307223,0.04555866471498,0.151818850627684,0.0620164623535157
114,0.0194224792176776,0.0281968262228967,0.152019906472217,0.0625586117371433
115,0.0262955226295202,0.0201273172001792,0.151497215159174,0.0628357677439084
116,0.0379184212229684,0.0190125567573859,0.15112883685437,0.0624503921546461
117,0.0520101131246314,0.0267432381309244,0.151457589243335,0.0620646363576354
118,0.0561860940761492,0.0515088526870358,0.151909553421338,0.0622634616552351
119,0.0389057287644433,0.0789708206776194,0.151781499648666,0.0626851333579792
120,0.0235791104551661,0.0691559644630018,0.151328423542151,0.0626603048461998
121,0.0192369688374848,0.0460303408689731,0.151278270511204,0.0622741540832923
122,0.0212070077503736,0.0301259733645173,0.151663397948103,0.0621550302761231
123,0.0277511716930433,0.0225663789395797,0.151851005278712,0.0624552102447362
124,0.0384182220440939,0.0219749592864277,0.151575128051162,0.0626729957629692
125,0.0501485733821393,0.0303578258640644,0.151306844969648,0.0624839134255382
126,0.0518656719052902,0.0528524126802205,0.151454063486677,0.0622206878657467
127,0.0372517776319927,0.0732877227627119,0.151748697349788,0.0622919457332387
128,0.0246842388838482,0.0643152711657368,0.151725411034656,0.0625547983078886
129,0.0210180431654594,0.0448818126719377,0.151452652119035,0.0625869407822841
130,0.0231399308407402,0.0310744395802443,0.151374117095188,0.0623640105048799
131,0.0295582778910987,0.0246252919163304,0.151588014977216,0.0622537563555263
132,0.039357732867258,0.0250267206305646,0.151737127049325,0.0624115247935088
133,0.0486810642822603,0.0343863935872005,0.151600874037063,0.0625686449859522
134,0.0478689250017781,0.0547063344202066,0.151417466880912,0.0624850213550482
135,0.0352309108960762,0.0686255866656204,0.151471826435902,0.0623139865179946
136,0.0253163367044674,0.0594255602597235,0.151656000809182,0.0623256891510761
137,0.0226501582751249,0.0430894137577228,0.151674932930612,0.0624830647799948
138,0.0251275222039855,0.0315365520680858,0.151517435894856,0.0625302495319904
139,0.0314835622483253,0.0265219803799606,0.151442886885139,0.0624072294694383
140,0.0403247618661489,0.0282038033128261,0.151555652134699,0.0623201304748918
141,0.0471525140819051,0.0384944930456002,0.151663850598304,0.0623975509926188
142,0.0442108637897884,0.0561489854649512,0.151602912401299,0.0625041339105302
143,0.0333755236303532,0.0643795102110577,0.151483667139457,0.0624739858134426
144,0.0258032365520863,0.0549339051647045,0.151494423061323,0.0623676204649442
145,0.0242078126220908,0.0412369420246631,0.151604777581885,0.0623556407595857
146,0.0271093953122149,0.0318743325894764,0.151635686029578,0.0624459426517655
147,0.0333489110799661,0.0284313808552352,0.151548738085401,0.0624898779705506
148,0.0410415101645231,0.0314942934509653,0.151489277904914,0.0624255259963724
149,0.0453865998090184,0.0423262057795059,0.151544859430085,0.0623627365475683
150,0.0409746841415044,0.056744147445136,0.151618440502966,0.0623969698787534
