"Time","Phocaeicola_A_858004","Anaerostipes","Faecalibacterium","Coprococcus_A_121497","Mediterraneibacter_A_155507","Butyrivibrio_A_180067","Bacteroides_H","other","Phascolarctobacterium_A","Paramuribaculum","Ruminococcus_E"
165,8141,907,2323,0,847,0,3225,1963,594,0,0
166,7108,1303,1041,0,1166,0,4216,2302,864,0,0
167,6604,1156,618,0,1782,0,3213,3764,863,0,0
168,1976,2569,12,0,2142,0,873,10416,12,0,0
169,713,5692,1763,0,2364,0,1323,5905,240,0,0
170,3017,3468,2672,0,1924,0,2150,4337,432,0,0
171,5526,1135,3804,0,1406,0,2880,2691,558,0,0
172,6134,693,5437,0,721,0,2628,1989,398,0,0
173,5671,585,5352,0,666,0,3222,2014,490,0,0
174,5193,461,4997,0,666,0,3787,2233,663,0,0
175,4874,390,4710,0,788,0,4116,2400,722,0,0
176,3394,1537,3532,0,1747,0,3847,3218,725,0,0
177,3595,1234,3784,0,1369,0,4364,2751,903,0,0
178,4061,519,4350,0,887,0,4837,2216,1130,0,0
179,4430,237,5177,0,757,0,4212,2453,734,0,0
180,4380,142,5253,0,716,0,4528,2298,683,0,0
181,4407,98,5041,0,700,0,5056,2094,604,0,0
182,4761,68,4811,0,708,0,5044,2027,581,0,0
183,6877,80,3362,0,940,0,3820,2146,775,0,0
184,7946,164,2093,0,905,0,3427,2771,694,0,0
185,7104,1328,2457,0,689,0,2691,3399,332,0,0
186,9577,19,545,0,65,0,6346,1136,312,0,0
187,8270,333,898,0,308,0,6122,1621,448,0,0
188,7171,1018,1571,0,813,0,4589,2199,639,0,0
189,6526,1390,1931,0,1127,0,3539,2732,755,0,0
190,8402,134,579,0,331,0,5541,2194,819,0,0
191,7232,570,1701,0,1407,0,3428,2784,878,0,0
192,5593,303,3574,0,1204,0,4271,2549,506,0,0
193,5892,569,2906,0,751,0,5311,2032,539,0,0
194,5698,1101,2732,0,979,0,4639,2436,415,0,0
195,5379,975,2405,0,1078,0,5314,2565,284,0,0
196,5252,1138,4213,0,1221,0,3199,2636,341,0,0
197,6164,775,3300,0,1446,0,3198,2778,339,0,0
198,7148,623,2527,0,1026,0,3897,2299,480,0,0
