"Time","Phocaeicola_A_858004","Faecalibacterium","Gemmiger_A_73129","Anaerostipes","Fusicatenibacter","Blautia_A_141781","Faecalibacillus","Bacteroides_H","Agathobaculum","unknown_Genus_79","other"
43,0.1895,0.338333333333333,0.0636111111111111,0.0412222222222222,0.00866666666666667,0.0161666666666667,0.0649444444444444,0.0964444444444444,0.0475555555555556,0.000611111111111111,0.132944444444444
44,0.238833333333333,0.347166666666667,0.0412222222222222,0.0462222222222222,0.0143333333333333,0.0347777777777778,0.0811666666666667,0.0413888888888889,0.0306666666666667,0.000333333333333333,0.123888888888889
45,0.254666666666667,0.340444444444444,0.0343888888888889,0.0555555555555556,0.0208333333333333,0.0517777777777778,0.0884444444444445,0.00872222222222222,0.0219444444444444,0.000222222222222222,0.123
46,0.146611111111111,0.376166666666667,0.0476111111111111,0.0985,0.0351666666666667,0.0733333333333333,0.0790555555555556,0.004,0.0222777777777778,0.000611111111111111,0.116666666666667
47,0.0783888888888889,0.299611111111111,0.0334444444444444,0.111111111111111,0.0497222222222222,0.0741666666666667,0.1995,0.00533333333333333,0.0503888888888889,0.00277777777777778,0.0955555555555556
48,0.140722222222222,0.298833333333333,0.0414444444444444,0.0906111111111111,0.0326111111111111,0.068,0.131888888888889,0.0226111111111111,0.0596111111111111,0.00172222222222222,0.111944444444444
49,0.223111111111111,0.302222222222222,0.0512222222222222,0.0651666666666667,0.0127777777777778,0.0559444444444444,0.0293888888888889,0.0658888888888889,0.0624444444444444,0.000333333333333333,0.1315
50,0.185777777777778,0.274111111111111,0.0397222222222222,0.0908888888888889,0.0251111111111111,0.0485,0.0120555555555556,0.128166666666667,0.0341111111111111,5.55555555555556e-05,0.1615
51,0.157222222222222,0.306,0.0528888888888889,0.114333333333333,0.0242222222222222,0.0509444444444444,0.0210555555555556,0.0991111111111111,0.0483333333333333,0,0.125888888888889
52,0.185166666666667,0.330722222222222,0.0477777777777778,0.0619444444444444,0.0325,0.069,0.0418333333333333,0.0394444444444444,0.0656666666666667,0.000222222222222222,0.125722222222222
53,0.135888888888889,0.264,0.0511666666666667,0.0445555555555556,0.0327777777777778,0.0742222222222222,0.149222222222222,0.00444444444444444,0.0263888888888889,0,0.217333333333333
54,0.225055555555556,0.318222222222222,0.0382222222222222,0.0602222222222222,0.0147777777777778,0.0519444444444444,0.0243888888888889,0.133611111111111,0.0120555555555556,0,0.1215
