"Time","Phocaeicola_A_858004","Faecalibacterium","Bacteroides_H","Lachnospira","unknown_Genus_4","Phascolarctobacterium_A","Mesosutterella","Blautia_A_141781","Akkermansia","unknown_Genus_55","other"
23,0.490277777777778,0.00461111111111111,0.213111111111111,0.0145555555555556,0.0118888888888889,0.0316111111111111,0,0.00683333333333333,0.0686666666666667,0.0457777777777778,0.112666666666667
24,0.408611111111111,0.0211666666666667,0.320388888888889,0.0218888888888889,0.0186111111111111,0.0308333333333333,0,0.00488888888888889,0.0313333333333333,0.0185,0.123777777777778
25,0.430277777777778,0.0236666666666667,0.197166666666667,0.0152777777777778,0.0248333333333333,0.0212222222222222,0,0.012,0.0304444444444444,0.159777777777778,0.0853333333333333
26,0.394751535455053,0.0389726409826912,0.297040759352317,0.00837520938023451,0.0218872138470128,0.0256839754327191,0,0.0112227805695142,0.0341708542713568,0.0849804578447795,0.0829145728643216
27,0.355277777777778,0.052,0.398555555555556,0.0045,0.0170555555555556,0.0298888888888889,0,0.00966666666666667,0.0396111111111111,0.00933333333333333,0.0841111111111111
28,0.385777777777778,0.0264444444444444,0.3625,0.0106111111111111,0.0137777777777778,0.0205,0,0.00844444444444444,0.0432777777777778,0.0366111111111111,0.0920555555555556
29,0.346166666666667,0.0287777777777778,0.365611111111111,0.0579444444444444,0.0102222222222222,0.036,0,0.00883333333333333,0.0596666666666667,0.000833333333333333,0.0859444444444444
30,0.529055555555556,0.00411111111111111,0.188666666666667,0.00761111111111111,0.0142222222222222,0.038,0,0.00883333333333333,0.0506666666666667,0.0623333333333333,0.0965
31,0.418277777777778,0.0201666666666667,0.291611111111111,0.0533333333333333,0.007,0.0489444444444444,0,0.00588888888888889,0.0448888888888889,0.0205555555555556,0.0893333333333333
32,0.414722222222222,0.0309444444444444,0.291333333333333,0.0485555555555556,0.00683333333333333,0.0477222222222222,0.000277777777777778,0.00566666666666667,0.0456111111111111,0.0167222222222222,0.0916111111111111
