Time,Phocaeicola_A_858004,Anaerostipes,Faecalibacterium,Faecalibacillus,Mediterraneibacter_A_155507,Butyrivibrio_A_180067,Bacteroides_H,Paramuribaculum,unknown_Genus_39,unknown_Genus_59
41.0,0.41809443706827976,-4.448315876384808,-0.39543802634635594,-3.4623950277973092,-4.191295172904969,-1.634730527468643,-0.4759848472430439,-2.4751260665469337,-5.48327239964516,-5.378913266295449
42.0,-0.40941151266527176,-3.370173794815555,-0.6286604634508528,-3.100539628599165,-3.9617451727154283,-2.632033641080578,-1.107565968586847,-2.7676255658577915,-5.891082697600024,-5.7867235642503125
43.0,-0.6749898941273207,-3.562393126087069,-0.6871393365258438,-2.2930868407583453,-3.959483560836291,-2.8965252082316795,-0.8243324794448155,-2.6734805150936616,-5.904671541329908,-5.705822287489798
44.0,0.27166231600948176,-3.502918469243979,-0.3184922220108348,-2.5987217050080424,-3.3962801132594453,-3.6793746869510358,-0.5871207573205315,-2.438561304799271,-5.559595261947562,-5.406875435434553
45.0,0.30337391082371057,-3.2784556068703257,-0.16491509543584137,-2.5109062486747042,-3.544363560070468,-4.700764964638375,-0.05140674146575708,-2.043368893848853,-5.416158206241487,-5.217308952401377
46.0,0.009926657374073722,-3.8597394723563676,-0.7643331568454022,-2.67952171895429,-3.526178189196819,-5.660925930634682,-0.5128613682132286,-2.3322903887047732,-5.714466233585691,-5.561746407072682
47.0,0.5083811063509759,-5.276245236910501,-0.586740818698378,-3.421179376611911,-3.8533784676001774,-5.320340242088119,-0.45888438710407176,-2.4030195747552963,-5.519189495928229,-5.519189495928229
48.0,0.09947411586681598,-5.4028119850314695,-1.5115647954208111,-4.308844186690995,-3.862371800216872,-4.041128031621576,-0.6661324522561347,-1.5107851789092803,-5.767452379195409,-4.460478316098194
49.0,0.6498106972652197,-5.289494198412233,-1.029970126967247,-4.387907794073651,-4.387907794073651,-3.414073506541415,-0.12219294788774926,-2.250923501833789,-5.442214024925242,-5.388673721974233
50.0,0.35406646504262973,-5.149464736937372,-0.574938871787785,-3.6423104849302925,-4.459798900249719,-4.284470877651411,-0.146270560353865,-2.148889002325591,-5.51410513110131,-5.51410513110131
51.0,0.127230253028229,-4.6820345229662514,-0.5365427230787787,-2.6603168571232576,-3.885744525588846,-2.1293910447978184,-0.3585052048103805,-2.485931571967846,-5.592301864036968,-5.227661469873029
52.0,-0.19492593085611887,-5.038508707582929,-0.6278814489313536,-2.9632462434214855,-3.8835790014349483,-2.521392333918718,-0.7898475895186183,-2.1733230967027604,-5.780441390438163,-5.5374971314204355
53.0,0.9314049259643735,-4.810503603724343,0.3057745855695577,-3.1910132888817033,-4.1012447461149675,-3.627696206466976,-0.2816439915341984,-2.0298309773061973,-5.136201269375319,-5.136201269375319
54.0,0.2551455706222645,-4.009832424084595,-0.02740405057588613,-2.0380264437158147,-3.722710916337407,-2.718933677939149,-0.6610113731356877,-3.2407004061106246,-5.506094731731751,-5.452554428780742
55.0,0.4971765865955653,-4.53814344436401,-0.21403022891466428,-2.3593958010414746,-4.044637905653088,-0.5565811144913635,-0.3012204178238649,-2.6604723402775154,-5.305929397881162,-5.305929397881162
56.0,0.8569190667824713,-4.7184251049703105,-0.38804468866110065,-3.1750358668422693,-4.760657579932759,0.28276060165354133,0.1432149614144438,-2.0202036645287746,-5.003601838950487,-5.003601838950487
57.0,1.4715456202883699,-4.69694450163793,-1.1926943213425303,-4.436663240823702,-4.747763332036632,-0.2044264788072887,0.4084468532388035,-1.5987690028386332,-4.801303634987642,-4.801303634987642
58.0,1.2800743120860112,-4.429287366722818,-0.2489671594632581,-3.45317260847492,-4.714464100702994,0.5473878750262811,0.43331218330924703,-1.3645686011081324,-4.714464100702994,-4.714464100702994
59.0,0.16632569093413063,-3.8531270147157626,-0.17852269052386682,-2.977893139285242,-4.20753201098613,-1.028369960905524,-0.841296503186032,-2.6484072932652998,-5.52928132433855,-5.33043207049844
60.0,1.1480641533424065,-4.849946281670281,-0.2557926825809176,-4.061924462703943,-4.538846190457351,-0.05581051576608598,0.29173660321510075,-1.7922044739569736,-4.90348658462129,-4.90348658462129
61.0,0.6030341383730715,-4.678051001277544,-0.22253713252493523,-3.6416286764174846,-4.15796791732013,-0.9632866845385151,-0.5017619091204615,-2.013666300183341,-5.338154027271498,-5.338154027271498
62.0,0.07149686833669944,-5.203628698995195,-0.3780340127920867,-3.441336018813363,-4.029454175757029,-1.9739779969528937,-0.8873082158723786,-1.7297661934346489,-5.641880471884919,-5.641880471884919
63.0,0.3922523058840597,-4.126191510543377,-0.27041219319658305,-2.9471396249760264,-4.018243907252108,-1.0428349643197503,-0.8662057949850785,-2.5867665636042156,-5.476852099756521,-5.476852099756521
64.0,0.5523742335631047,-4.4492587034341575,-0.4853025849066255,-3.564134430973588,-4.4698009074474765,-1.8447253423254475,-0.48029618548890074,-2.002344244948138,-5.444355005970113,-5.390814703019105
65.0,0.4889381529559038,-4.64660338734792,-0.31542758601541343,-3.784231385602233,-3.849343022528087,-1.7577448667733575,-0.41950941837680644,-2.3811272087052107,-5.439591030058389,-5.240741776218279
66.0,0.4561290033799511,-4.525715176473456,-1.0134973582828875,-4.408351887866456,-4.426980651542271,-1.0629941326967187,-0.49408601096006266,-1.9280727463655674,-5.500269274996095,-4.7324833214789415
67.0,0.40611159267057284,-4.2917577982540145,-0.5042203985857996,-4.0627838591995005,-4.128873829616117,-1.2332728712321037,-0.7873978155914938,-2.325588702088545,-5.521392051703915,-5.467851748752905
68.0,0.18164711105174458,-4.386164831599997,-0.44777261456842443,-3.36384594142445,-4.083945248215508,-1.3399194759808772,-1.3657763245690597,-3.001966572703884,-5.662916888254349,-5.662916888254349
69.0,0.206732084258053,-4.843835193628027,-0.6464311805551759,-3.725078862722242,-4.401853415418384,-1.5409314753323102,-1.4282887896197105,-2.7886356876208325,-5.708827478515598,-5.708827478515598
