Time,Phocaeicola_A_858004,Anaerostipes,Faecalibacterium,Coprococcus_A_121497,Mediterraneibacter_A_155507,Butyrivibrio_A_180067,Bacteroides_H,Phascolarctobacterium_A,Paramuribaculum,Ruminococcus_E
106.0,2.049363979090118,-4.226237166666918,-2.358460392921813,-3.9946007356377504,-4.226237166666918,-4.279777469617926,0.8660789256065937,-1.5483446360699422,-1.3390379342040042,0.7363007622069178
107.0,1.7712737925817037,-4.210708620610058,-1.9104727659309924,-3.3672437404476905,-4.559291577700842,-4.61283188065185,0.5311009327205838,-2.0402278710160595,-1.9253328750933707,-0.14986789773438636
108.0,1.5164071938444588,-4.426031016908992,-1.3197759999896146,-2.69640773936507,-4.932845080748418,-4.932845080748418,0.07370641492101826,-2.5290662028681186,-2.539057195247288,-2.795142481377258
109.0,0.8005984669295189,-3.3595883378948184,-0.6381803575571472,-1.7497192682549279,-4.5038948521625946,-5.2968824948730635,-0.4776586944178338,-2.0898853822848507,-1.9843427699358576,-1.890706176469596
110.0,0.6306730713972746,-4.323507265708625,-1.0516980747934073,-1.8988260552954463,-5.262704826325255,-5.415424652838264,-0.5455556281173755,-1.7934952665343282,-1.786171179335016,-1.9840300412398937
111.0,0.8331143110562008,-4.454153743935645,-1.1390814886013665,-1.89340181392124,-5.2020896220732755,-5.308727192954276,-0.441929755592291,-1.7005866817468331,-1.715953328085356,-1.8660414681480524
112.0,1.1846849063473779,-4.46800739341892,-1.1772312350751244,-1.9698253930077583,-5.00132899905018,-5.107417537484347,-0.2980225349376273,-1.5971597108096887,-1.6754101769136713,-1.6918228260258357
113.0,1.613025659540146,-4.349589409215933,-1.145716850780759,-2.133265938183184,-4.71932574140217,-4.8240328764760765,-0.10658720274944677,-1.4765610642224054,-1.6293801401140526,-1.4497456131107307
114.0,2.020911955306051,-4.16002191007262,-1.048488713935198,-2.4232267881535114,-4.419115789922387,-4.52290548235611,0.07765185071716729,-1.385783240235487,-1.5732036026608283,-1.1804997195141218
115.0,2.207246214434909,-4.022613718013774,-0.9847328889705822,-2.6707644281306604,-4.282894978828002,-4.387254112177715,0.0795069063246876,-1.4971685760254076,-1.547307220144409,-1.0490051143109373
