Time,Phocaeicola_A_858004,Faecalibacterium,Gemmiger_A_73129,Anaerostipes,Fusicatenibacter,Blautia_A_141781,Faecalibacillus,Bacteroides_H,Agathobaculum,unknown_Genus_79
204.0,1.3186364761278389,-0.07265148507677432,-2.0584284729148647,-2.6634447877549317,-3.530860230151129,-2.750935494101898,-3.015027249136785,0.7591572398095361,-3.7726557635451288,-4.807612286805481
205.0,1.2298479092452577,-0.23323925096236686,-2.1816223447733964,-2.2975611048761104,-3.1346960432462296,-1.9807474840752362,-2.7703078322437795,0.4356675058676793,-3.521190811089082,-4.873740777963915
206.0,1.2738319733977583,-0.9907740213974803,-2.461900969816772,-3.123924229082712,-3.992125043891996,-3.1764840218128323,-3.321410318099901,0.49101000619172597,-3.9522648231676,-4.987221346427951
207.0,0.5859399507039984,0.8103294002628405,-1.7771342481243286,-0.8670883889620644,-2.422755068068244,-0.8478514243632562,-1.6359292678943322,-0.45890833389430097,-2.4539127349668455,-4.753618289008631
208.0,0.6712283456572137,1.0094973131140352,-1.3359439297077413,-0.7786692680203631,-2.309988825189533,-0.65676775911736,-1.1459873142711063,-0.34549640898049994,-2.0513157086204905,-4.605162963883567
209.0,0.7515542575005778,1.0996985856778319,-1.2567237902308723,-0.829163864511123,-2.619899405913564,-0.576769655219687,-0.7754630399772799,-0.2103058446767152,-1.6962743362343398,-4.6643692222788715
210.0,0.9839828475420349,0.641331393011702,-1.69524423571373,-1.2176312128265558,-2.7954471656942257,-1.0276364291994002,-1.0405368047766155,0.3568792206975515,-2.5328206802181423,-4.279918571813848
211.0,-0.2210913204921683,0.4763178037369955,-2.2459558228780265,-1.357052365017402,-2.7926462533389804,-0.3193350349807771,-1.2365881541851125,-0.2541267579089519,-2.585181721467162,-4.840449948121816
212.0,0.36928311298285665,0.39947114691044505,-1.8713056755513084,-1.267108411167534,-3.0220645790952885,-0.6924254527780465,-1.9730464562674934,-0.13361733328093117,-2.5281826071403373,-5.1133033657079805
213.0,0.576316002237609,0.9881319796969508,-1.4103320399187802,-0.24043991373421703,-2.609545025327907,-0.3264976682548837,-1.5315197506785392,0.12912836673568684,-2.4416697111553023,-4.740740657985203
214.0,0.6794287890681099,1.176318807182843,-0.9393040212167767,-0.2749104778152329,-2.056367271270396,-0.37670524534139194,-1.773318277016135,0.6161161720056942,-2.513590759145478,-4.523735871103856
215.0,0.8130423330283651,0.7852834423634933,-1.4836568611252046,-2.1747440275684298,-2.4224019862990733,-1.0179249373881991,-2.2174274947772945,-0.26793750044645503,-2.5061009421600238,-4.830069991981662
216.0,0.3869783927747181,0.7001098841707647,-0.9988326924767263,-1.6045924948125396,-1.8055901595640975,-0.6781018305849851,-2.0574186128255874,-1.0760123166875974,-2.545940977705493,-4.778482623512952
217.0,-0.19482366746505297,0.615467740538417,-0.7411762006423759,-1.1154515639732887,-1.5002344637511658,-0.386269978700593,-1.701163706400317,-2.0465899732637687,-2.6257067155921985,-4.682298788595151
218.0,0.4849662069807459,0.9306759895706151,-0.8546062303535682,-0.40683940427628995,-1.5442287337244798,0.12248345511624503,-0.5689185231592413,-1.1141397901334225,-2.3792707452930975,-4.6051626229272005
219.0,-0.4563312204425307,0.8715784808126394,-1.0867414084302667,-1.2452438627467781,-1.915353659772819,-0.08586544928730033,-1.7580522023460288,-0.24080837123702925,-3.3489804247444983,-4.899980935850943
220.0,-0.044483301821365284,0.9206666450838443,-0.7061379410303537,-1.4654698461683076,-2.186800496916654,-0.48008827288922884,-0.9076369147980441,-0.5616648868545364,-3.187184243253912,-4.817848232135246
221.0,0.14663116069503235,1.0700920381499182,-1.0288959955018777,-0.7223990157064009,-1.506536481125755,-0.29959630084068545,-1.4025340725699373,-0.887074631213459,-2.5351594524355576,-4.8774378676783945
222.0,0.03169806299241462,-0.08275150429304201,-1.616426255577223,-0.5312139470783901,-1.1107664783750577,-0.08411103971380007,-0.708211708647795,-2.1977075182409878,-2.410221704617104,-4.6630927385406205
223.0,0.4462781669759226,0.30416594730972757,-1.7785692662013062,-0.9437112862583776,-2.286382617449073,-0.47129713683549546,-1.164342211823948,-0.22444186096439167,-2.972038576959254,-4.583339465376752
224.0,-0.7755626310220514,1.1225194090488515,-1.0596026027611192,-0.2686932891126186,-1.4223051465984322,0.7144072483182984,-0.3321883509493566,-1.3742172233955996,-2.362961472199883,-4.108935917961839
225.0,-0.2438082917914739,0.4575172616679861,-1.3963329583300976,-0.7828659559976061,-1.9854316494753177,-0.3112263192535618,-1.1535331279035685,-1.974287783737823,-1.625969342615555,-4.417941597953659
226.0,0.3761045010031776,0.6564717225095744,-1.0754065128608692,-0.6560473525946915,-1.9517251818803716,-0.24216861131576395,-1.9036109666191379,-0.42605894940971667,-2.34199616007161,-4.752840739007769
227.0,0.008750147437815547,0.13384943924697623,-1.5122032904581708,-1.1182147919872416,-2.270667652231189,-0.4034844442253229,-2.270667652231189,0.23426686366459348,-2.617685198051935,-4.3121425487575635
228.0,0.47152744211873143,0.05877419025267816,-2.347470382730287,-1.6080793635413742,-2.82779018743597,-0.426436667063151,-2.5780966244927113,0.5766334530008148,-2.277507150155323,-4.863358405311833
229.0,0.509892827485968,0.19156776088964445,-2.251274141602971,-1.072794899400502,-2.2548624650137845,-0.37809575137976603,-2.3064997850035343,0.43271767768730984,-2.3140991260563974,-4.739762716133226
230.0,0.396432584800392,0.26682940985492265,-2.1623793696135696,-0.5216765638840961,-1.7952922517036334,-0.38845304637587796,-2.092006649981904,-0.21998708427716585,-2.4943874885832775,-4.905839277934562
231.0,0.314062723975987,0.3422184185146344,-1.988613095450799,-0.20058062893143602,-1.4675013911547865,-0.37503923212354073,-1.6181418351787238,-1.2070324037924502,-2.4598470256864635,-4.792422770898457
232.0,0.18948747934714083,0.4695162877473751,-1.8729841361241089,-0.1192533885878122,-1.469851936036955,-0.43090565383925994,-1.3470546065711957,-2.6994625519467252,-2.55047623857374,-4.620130035670313
233.0,-0.34077040537812997,0.7064221350977897,-1.9063132789414585,-0.9530472883515662,-2.0880816040303936,-0.8056461808705648,-0.9777132364530956,-0.28372565334931577,-1.9841770163816952,-1.5017709043641354
234.0,-0.5860202547920386,-0.7882752801768484,-2.4037376601382214,-1.753578541636085,-2.9587197671540353,-0.7838800593484314,-1.7382756725534665,-0.8394866113472168,-1.3901856234820285,-0.8923759211175835
235.0,-2.926491024501303,0.7101630088075814,-1.9031400474850977,-1.3031923750195773,-2.2470612394876497,-0.2977649065384531,-0.6034200931776108,-4.012749941809663,-1.7221364797968373,-3.597887124414951
236.0,-2.7576810772963007,0.5844364013716393,-2.389021684610406,-1.8190154249757968,-2.497475514779187,-1.0140623612851456,-0.7147828343441065,-4.03315715916669,-1.5198409210483883,-4.94582367619811
237.0,0.8583048814309464,1.3731122062020504,-1.8487106783118166,-0.8623158943325624,-3.264264490183525,-0.38101538697631865,-0.4367792103264536,-1.0279413102216561,-1.9084441904121952,-4.3033755273201155
238.0,0.9720111765583657,0.6902701840864198,-1.944923984320349,-0.4505221744936949,-2.375130144921849,-0.14817990512318646,-0.82926675030695,-0.558255281181157,-1.6952101544675,-3.9658385671841616
239.0,0.41550893828431534,-0.26511787537323883,-1.6293457989420383,-2.053815212629572,-2.8261265617874187,-0.45403828243435673,-0.5213538159384579,-0.8464329313936252,-2.5324154417300706,-4.588646836375786
240.0,0.42781827681356344,0.5498367465056533,-1.7905407326925267,-0.33075860344000674,-2.392120384453202,-0.3657836301870736,-0.437794012399801,-0.011379650367794536,-3.057327495527807,-4.724299049434188
241.0,0.7435584421013679,0.09902065875430299,-3.350528050729128,-2.0252139715489763,-3.973277452901815,-1.6438675447280808,-2.0712624015604755,-0.06822997684596332,-3.434156199460743,-4.599243756287273
