Time,Phocaeicola_A_858004,Bacteroides_H,Faecalibacterium,Paramuribaculum,Lachnospira,Parabacteroides_B_862066,Phascolarctobacterium_A,Ruminococcus_E,Gemmiger_A_73129,Prevotella
162.0,0.36000659616841557,0.16585770527130927,-1.340854613086627,-1.612919075313711,-1.8145589150123262,-1.5492991187215908,-3.070614197310195,-2.3979424567901932,-1.912414678278711,-3.492633782368446
163.0,0.22646613794657622,0.13925342651888295,-1.2844641288135257,-1.8167378096721414,-1.764432836364658,-1.5196955830799939,-2.8461557821566466,-1.7175846269531772,-1.670101740183506,-4.293776061487293
164.0,0.07623321642433023,0.14771329379305764,-1.2145339683633352,-1.9541937035384271,-1.6966790959049498,-1.5577229600902518,-2.729960162060553,-1.533035630341474,-1.5854796595262681,-5.192061223770908
165.0,-0.9939205260295213,-0.9262741843823771,-2.231532492469075,-3.1769846767232846,-2.9397937195027377,-2.5974520051470407,-3.6580810482066637,-2.7072246420587915,-2.5954547286873906,-0.6935667927258035
166.0,-2.29600936966851,-2.3145550459438615,-3.5762158952656553,-4.918594766158976,-5.752448427478649,-4.031133803199287,-4.59144546760827,-5.133651442126552,-4.226802884642878,-0.36551824012855916
167.0,0.3415730876486549,0.5943674279696636,-1.2827390416474629,-1.3867369360587871,-1.9233165204132676,-1.019830066066605,-2.849500274218986,-2.024017922494667,-2.4478668698648054,-4.723930281977879
168.0,0.5029721158381875,0.7738846968019386,-0.7822884225640405,-1.3126652918245023,-1.7967205430235667,-0.8994782091057507,-2.6750423072937757,-2.2104987181460833,-2.468533252873245,-4.81070975242316
169.0,0.5948460421402049,0.8365372934676765,-0.44622463683328606,-1.3427189340090204,-1.6916412938063345,-0.8210305784635956,-2.5255040658421652,-2.4657661593220848,-2.554326999388082,-4.977793298354386
170.0,-0.08876988636324601,0.13104351738947773,-1.2089422247170838,-1.7889840025301484,-1.5771250482200598,-1.2945913023149258,-3.180112911619239,-2.7638225672458923,-2.022238094593769,-4.72055462264298
171.0,0.39223408820271954,0.45756350614538954,-1.529566105532898,-1.654053433319806,-1.3383748431304605,-1.262820304246472,-2.7004578748025048,-1.4463698094655415,-2.367394377932722,-3.9401836997400452
172.0,-0.3826830699681276,-0.24472008680380175,-1.6175484149524408,-2.5683596414061363,-1.92658943515937,-1.844750062046767,-3.1326313127404033,-1.5650124683897408,-2.0360135149826704,-2.9785945710248143
173.0,-1.716402885022005,-1.9764934733658643,-4.649252557803025,-3.719766842590624,-5.665303841431859,-3.69966016478375,-4.420326288447276,-3.9316189819246814,-4.083110659977486,-1.0126778343140528
174.0,-2.43875420712071,-2.4985684032780706,-5.029436981606874,-4.350714174629529,-6.2632816858431655,-4.548899159225638,-4.96586863203612,-4.883159299644435,-4.344077656644583,-1.096350716384062
175.0,0.26183065651223036,-0.02012247975610082,-1.1687052343133792,-2.134043579956625,-0.8742414663363871,-2.228700833042857,-2.7052486845404298,-2.595240968105716,-3.1625806940537853,-5.42225031509451
176.0,-1.8979976722891974,-2.1356196948117256,-2.705052851286361,-4.230417901104629,-3.144371748458074,-4.040191360578882,-4.3103547002206595,-2.973582415789881,-3.350462553499603,-1.0810531699178583
177.0,-1.9925624428754494,-0.9768080854602441,-3.0900547705402195,-4.243405083335012,-4.333127945264103,-4.071779014747539,-4.15391462065017,-4.15391462065017,-3.4721817983317234,-0.9851733800422127
178.0,-0.8334921819823959,-0.66972857467652,-1.9267169043933845,-2.9968147963108507,-3.185947914852026,-3.3273514973820393,-3.2805012276344026,-3.315431551737967,-3.115610034854853,-1.2972072598816338
179.0,0.0025156286235383796,-0.12623611010276892,-1.1016891165256093,-2.09866858486099,-2.147785585880883,-2.3977232118910203,-2.5441388721238978,-2.560303801929784,-2.4329644321028105,-3.504764720118623
180.0,-0.0581912886465894,0.18590470274705218,-0.9867964192641578,-2.0997549562835838,-1.839831063765678,-1.8295471692334002,-2.650056437323033,-2.4936230734599247,-1.9038595635889182,-5.403799807440735
181.0,-0.1735631554306798,-0.0804076351657732,-1.1204488415971392,-2.649675887141252,-1.9205301270364692,-2.296854649118663,-3.1239215741177313,-2.6355785179816604,-2.663974837265494,-2.819479239348416
182.0,-0.006210930080143395,0.058504568935510814,-1.378337417227294,-2.0488894192714238,-1.5843391776556983,-2.067540344241255,-2.605485861134082,-0.9748215664962292,-2.1874006298135793,-5.442214024925242
183.0,-0.08895468009554275,0.19492036653948674,-1.5135730556339106,-1.372637210014022,-1.8965451383002365,-1.6061051181640444,-2.2954036195300977,-1.359293283027683,-2.227728586230599,-5.095580402631278
184.0,-0.019843050306551202,0.3239720622805151,-1.4283900460572398,-1.3882232391654517,-2.2636352302817553,-1.3546042986582172,-2.2761453394674174,-1.3996854950623867,-1.9967950719350378,-5.161259655486115
185.0,0.08148206089229526,0.40771353461179194,-1.33807787606007,-1.4510520878086868,-2.5319811014623523,-1.2088575934834833,-2.2478836785022502,-1.5022731474905489,-1.8581546708720609,-5.30892693507823
186.0,0.5268637218435281,0.5675991341784727,-1.5996377232676202,-1.8602832257860522,-2.0514679255144204,-1.4200967171959669,-2.339788508970476,-2.5785270608739177,-2.1812668423626436,-5.103887903563019
187.0,0.40687487748922146,0.641844298086198,-2.0920091494949906,-2.2770267309064574,-1.6713744406005133,-1.883870400519217,-2.426925863454062,-2.667045847086153,-2.700496301595141,-5.260424905328167
188.0,0.28532608887157473,0.6405595311629726,-1.99560689769212,-1.9251100899576976,-1.9935221823935156,-1.8217317664128758,-2.26182975597764,-2.3178382589280924,-2.053602630019939,-3.7112262323537273
189.0,0.05484448635934536,0.5402769427931884,-1.781513560756819,-1.6008128691728465,-2.576882123771431,-1.8414328569248828,-2.198693069802777,-2.2425830754196125,-1.756674581832406,-2.9995887418803853
190.0,0.38364172641600547,0.651470530015759,-0.9356145798206927,-1.5482900448445822,-2.4070582692715856,-1.5497613214265933,-2.2121974626414316,-2.255976816645597,-1.8657250934879424,-3.6258605157405075
191.0,0.6872779161118348,0.8364220004336373,-0.5204603279255502,-1.4937573181003407,-2.1376799679662764,-1.212861201990025,-2.3148066080762826,-2.435833161374643,-2.231024437960876,-4.933681043476943
192.0,0.8619171568974429,1.059250358118812,-1.4870054041462804,-1.5163555095094292,-1.8752812410319404,-1.1266397510083914,-2.199902320861171,-2.5976863516625484,-2.6896089763350473,-4.703412181741919
193.0,0.16908024647600617,0.2760753149075379,-2.1106818926237567,-1.9918270059625924,-2.29976448581873,-1.6350712978441977,-2.6027443568541733,-1.6796259530673088,-2.364757796207785,-4.852245942699716
194.0,0.2897237004470332,0.24770056194842516,-2.135103179717674,-1.9748191168774065,-2.1286051774434687,-1.645077260343062,-2.0497559309995124,-1.3718708003261355,-2.2773077965260846,-5.3127539030029105
195.0,0.705186424731455,0.7182981688031591,-0.9594428680067899,-1.5014311967489589,-1.6524252523565977,-1.4632400759297137,-2.3096750160390958,-2.8177509774591014,-3.1050808102793104,-5.0123316215551625
196.0,0.3232286169277794,0.1386795643563834,-1.4982244369636344,-2.3879454089506833,-1.9067333125912824,-2.1674412571664883,-3.1301366683525345,-2.7668303106276024,-3.493284649340695,-5.408246670417829
197.0,0.5669222137685772,0.29113140505687296,-1.7992800054013547,-2.2575669897413375,-2.405708803538759,-1.8798358688671246,-1.8886127518875846,-3.1344269367351263,-3.1976663301347363,-5.27532165984102
198.0,0.2714327860915007,0.19835207433762325,-1.323733649752998,-2.200954514730044,-2.7050493971009315,-1.961578435540456,-2.183793413104792,-2.313025098906682,-3.6438971929802193,-5.151305496668739
199.0,0.6207301929101201,0.7275985958041216,-1.1628795562150176,-1.788743901845989,-2.7956547953929203,-1.476122061097959,-1.9779090311924465,-1.180381988766549,-4.034884911005171,-5.089191141856762
200.0,1.054436923936402,1.0847995111737898,-0.5959488730217046,-1.5468300370966217,-4.333228787817476,-0.9563076105889907,-1.796469774397822,-1.263083005983069,-3.6981919372533767,-4.40684016654326
201.0,0.8467577633033596,1.0195893170827064,-1.9329629246889244,-1.8199063629738217,-4.739858492528223,-0.769064631826764,-1.6944860583219938,-0.24678604822156736,-3.6640315159265677,-4.844217625877935
202.0,0.4800139786726183,0.5603715058154941,-1.2392248031922846,-2.104222007739013,-4.874998021132507,-1.1822514776711286,-2.277542527530213,-1.2288100166227098,-3.7168278791465807,-5.200695686783483
203.0,0.48831468887626595,0.6808718933338247,-0.3468300801463762,-1.7829470023999454,-3.939055550789295,-1.3691582131305025,-2.223061925906661,-2.2825134969495027,-4.124145358204707,-5.119241660740663
204.0,0.9015531801698327,1.1933440654806977,-0.9010429354393046,-1.5256785316251444,-2.9190154850896115,-0.9673830862645989,-2.395767880896798,-2.268428552358786,-3.913828722997431,-4.824096064068149
205.0,1.3649208880391264,1.2502673008665135,-1.0774382269970455,-1.8019320627209532,-2.353908011015507,-0.9572672340714656,-2.3937580077071883,-2.0121589787154446,-3.753992934817482,-4.641878954754258
206.0,-1.7492329020630768,-1.914435560832835,-2.879707898261103,-4.372951147046491,-4.777798231902567,-3.621034640364378,-4.7089289345135885,-3.2549690263525206,-4.54287285696307,-2.5731950136344794
207.0,-0.8285046036614859,-0.784481696745578,-2.254061495193944,-3.4979166908707993,-3.3618809526223496,-2.4569531968724942,-3.72608782757263,-3.2166900936360556,-3.6652115462169257,-2.9081556600394394
208.0,0.0678937315685697,0.22758375649629903,-1.5211921695613062,-2.5316923835342013,-2.471264643449781,-1.5357275811253321,-2.6329144213619307,-3.1773368144478153,-2.868524861961056,-5.498244837999869
209.0,0.16791249182875712,0.4545800277213363,-1.6653129702851104,-2.2529071286327733,-2.566154691084467,-1.501046382742915,-2.337286322639293,-2.9503904409699215,-3.072256014521207,-5.3931640380732615
210.0,0.3424054514344059,0.5653427409869054,-1.0352606951317316,-2.3015660959610287,-2.3711226685649303,-1.7546475720704227,-2.139123592611951,-3.154734454190635,-3.097277458539062,-5.2793805020524385
211.0,-1.0214067882039704,-0.98851992655542,-2.469062456956618,-3.3135937523011245,-4.012898034689291,-2.87512121293696,-2.9016021891529746,-3.3584780851604545,-2.9831028641536923,-1.785524797597812
212.0,-0.5975831290324356,-0.4373487143635968,-2.5593927058990547,-2.569126431573439,-4.691999381907685,-2.4740264783157873,-2.789251168741225,-3.8487442972105743,-2.8114369437993947,-1.957653642992244
213.0,0.5303803842099577,0.807801216326006,-0.6244434794006344,-2.282656548252124,-2.965153467923032,-1.924483961173552,-1.931564773377237,-1.5278239309496489,-2.2860271639759198,-5.076570232976779
214.0,0.39215087908791846,0.4296273877597665,-0.44556555869266457,-1.9180142093482926,-2.719611587183101,-1.9319953676584471,-2.6308266571913013,-2.0447171403522004,-2.5198914874086737,-5.136161356617858
215.0,-1.0670489625671413,-1.036834994875068,-2.3065182745958297,-3.181920315194568,-4.3905076747186325,-3.264112829703832,-3.7640372666886646,-2.4890390811341208,-3.012926716482645,-1.8204401398514252
216.0,0.3737685486923439,0.705230274323579,-0.33073387592025694,-1.7622568068374822,-2.240140507288535,-1.7565171633244747,-2.2278395475682444,-1.6776758728161056,-3.0754146417613786,-4.965205257207542
217.0,0.15709294971598764,0.12001699505031604,-0.3923292018058724,-2.024617644282154,-2.8943411745777627,-2.01523111179387,-2.837478352941761,-2.0340931192836003,-3.098336009844888,-5.397406956674787
218.0,0.7989853959232012,0.6406116892059752,-0.4456979818542428,-1.6021278519583912,-2.8453526124233064,-1.5625140729095524,-2.5205766888836814,-2.579502031714274,-3.054611595535811,-4.802952806477135
219.0,-1.308637271318406,-1.5985148779112923,-1.9050520887618978,-3.2759496424539187,-4.506779567477094,-3.278928654730787,-3.524563420139152,-2.6930425709572754,-3.654732049476739,-1.5386484689547957
220.0,-0.45870059078719794,-0.6856519181554113,-1.8743292544858645,-2.6342707514385566,-3.9554929430885997,-2.5864129355301912,-2.949918760875299,-2.668967695014537,-3.3817646858761696,-1.7551275186953148
221.0,0.8208908588425978,0.6294923721816783,-1.4793405578834764,-1.4323547481684704,-2.860318295515384,-1.3957403235060695,-1.8854207394764892,-2.3368490332800196,-2.860318295515384,-5.078970221528143
222.0,0.6587519428629685,0.49859825673284264,-1.0290138639947752,-1.9941644808616306,-3.3907942602168006,-1.2288676722933203,-2.3153500255369455,-2.334631945058949,-2.1325946211552385,-5.012171577485611
223.0,0.9275138100972004,0.6801278000236963,-1.2026268616839328,-2.1494771344105192,-3.4774009914027495,-1.2403129537877906,-2.361016366433022,-2.3918851608024756,-2.4037111287458766,-4.929071971434979
224.0,-0.9414849961316122,-0.8674507202326139,-2.1001066713807037,-3.4493490405039164,-3.868478961621964,-2.539084776388336,-3.6180824341689535,-2.408598390435163,-2.2347922939989,-4.282510705477285
225.0,0.09524248301492677,0.15971209513782259,-1.2069200039160304,-2.32899140655245,-2.7536431363791887,-1.6372652630320963,-2.735439765094911,-1.8968007062979395,-2.1943139309890047,-5.306963202859521
226.0,0.29821520162875514,0.4192059550045384,-0.969779059491019,-1.7203277692845986,-2.5572935917486577,-1.3552461286209712,-2.3959690970798224,-1.8233777753549447,-2.0838974059473836,-5.027710385535845
227.0,0.7352179661136546,0.7558062399194423,-0.07981086467996645,-1.7964544126569422,-2.0933792215378495,-1.179950026504586,-2.37045095251058,-2.1092182774481736,-2.37045095251058,-4.851212577728512
228.0,-1.4122839654570687,-1.5216976364875536,-2.1598325487083523,-3.808322344484827,-4.302610151784976,-3.3528115957085296,-4.083295856797549,-2.9464231674494767,-3.1050281348697304,-0.9290210255695119
229.0,0.4965084486500855,0.6908462063858158,0.16326301770506757,-1.8706704839462087,-1.419070271535934,-1.51388430659459,-2.4566322179993456,-1.5559086225267895,-2.0354189977708375,-4.783103340770415
230.0,0.514921016472444,0.667053782794063,-0.02978509575115096,-1.8847467458785403,-1.7344141624722533,-1.530830000256427,-2.1699017050215073,-1.6574047688344173,-1.9336344881823038,-4.96908059465913
231.0,0.5307034355507714,0.623880265843898,-0.3071741283324201,-1.9181392335211163,-2.3210596234753216,-1.4656718313708361,-1.948970595513332,-1.7849529581679309,-1.9042237706816443,-5.077256531942398
232.0,0.1393234360693527,0.4231618039785141,-0.3435685392386463,-1.9001415374182327,-2.490310512119791,-1.2687891892799126,-2.490310512119791,-2.6063060301852037,-2.2838581713139576,-5.267256345735669
233.0,0.31058852911090984,0.553520862433303,-0.07011249604079084,-2.044975783784391,-1.8434855733616597,-1.1940448840920612,-2.456433807813955,-2.72046651440613,-2.8728463689579318,-5.143932813372434
234.0,0.2849401484715579,0.5633204158107892,-0.7389531238295752,-1.987517497434408,-2.5133244204901333,-0.7100434719774789,-2.949659122314964,-1.2621604575903278,-2.967657954516582,-5.174274736040599
235.0,0.20304416656787816,0.5191680063207491,-1.8011614759593402,-2.078195997134247,-3.5842863837546357,-0.5851232279318797,-3.393563709505637,-0.8476159732288877,-2.8259749912512877,-5.2396460282107915
236.0,0.6289225820889914,0.8053674077623414,-0.6798461207637407,-1.8446047612548826,-2.5538411394734575,-0.8593696336477743,-1.8925546555442696,-1.6495604088175972,-2.266375545734682,-4.6367434784892545
