"Time","Phocaeicola_A_858004","Anaerostipes","Faecalibacterium","Coprococcus_A_121497","Mediterraneibacter_A_155507","Butyrivibrio_A_180067","Bacteroides_H","Phascolarctobacterium_A","Paramuribaculum","Ruminococcus_E"
52,4828,20,3125,985,103,455,2655,381,652,276
53,7830,7,4180,203,33,64,2315,191,388,20
54,5759,63,4337,815,90,277,2293,214,157,2
55,6006,21,2940,697,46,2082,2693,150,238,3
56,6362,6,1819,533,5,3575,3107,139,341,8
57,9618,2,653,43,1,1785,3310,342,429,22
58,7277,6,1563,185,0,3488,3110,235,500,27
59,5392,79,3814,530,50,1620,1957,257,306,582
60,7705,1,1879,206,8,2299,3262,123,390,112
61,6898,17,3011,467,41,1426,2273,98,487,341
62,5489,10,3495,528,73,694,2093,223,891,249
63,6417,52,3299,804,60,1514,1810,236,309,186
64,7293,31,2572,595,30,647,2585,442,550,192
65,6811,22,3037,561,71,704,2735,343,369,107
66,7004,30,1597,474,35,1519,2697,329,629,66
67,6804,44,2727,954,55,1306,2050,300,426,70
68,6261,47,3328,1247,70,1353,1318,132,242,233
69,6723,25,2854,994,49,1156,1296,131,319,282
70,8252,9,2872,158,18,500,2355,513,475,86
71,8388,21,3274,185,37,204,1892,371,360,347
72,7560,31,3557,462,33,200,1746,318,366,282
73,7661,20,3654,434,43,333,1776,269,361,545
74,8722,12,2698,243,17,850,1884,217,404,313
75,9183,7,2167,166,4,1271,1955,171,470,97
76,8471,21,3074,270,14,441,1457,295,663,101
77,8392,11,1138,119,0,3507,2019,177,444,107
78,10871,6,1228,46,3,918,1885,424,764,334
79,10727,9,1186,43,9,906,2027,416,885,303
80,10349,6,1179,50,24,947,2172,449,923,289
81,9952,4,1218,69,22,940,2191,443,982,239
82,9431,16,1192,60,29,937,2309,457,1084,225
83,8932,6,1285,70,61,981,2425,465,1075,197
84,8271,12,1267,87,61,996,2453,477,1160,190
85,7848,14,1249,112,57,972,2612,509,1205,159
86,7329,14,1238,126,113,997,2719,493,1241,105
87,6835,14,1265,132,95,1037,2848,534,1292,108
88,6618,21,1303,146,98,1094,2847,522,1298,61
89,6419,10,1292,168,98,1075,2958,523,1282,37
90,6946,10,1310,233,69,895,3050,636,1164,18
91,7692,9,1583,299,44,612,3335,676,867,14
92,7672,6,1887,345,25,410,3572,702,810,6
93,6468,9,2547,335,43,940,3415,290,803,64
94,6016,24,2303,540,56,553,2768,1118,902,47
95,8424,25,1304,277,15,389,3483,498,650,2
96,5921,73,4026,670,51,195,2465,109,647,0
97,4841,98,3475,889,58,371,1835,233,526,25
98,9021,14,864,143,1,2266,2694,257,543,37
99,7481,380,2925,235,61,102,2581,418,503,32
100,9137,194,2282,173,36,23,2304,288,367,14
101,11064,5,1242,77,8,0,2156,157,261,0
102,9610,0,144,10,1,0,3999,160,1241,2
103,10486,19,378,127,4,3,3008,332,557,0
104,8632,30,1801,290,21,0,2515,395,685,0
105,11527,0,83,3,0,0,4245,285,448,47
106,10176,1,106,6,1,0,3104,261,326,2724
107,10752,9,253,45,1,0,3098,220,249,1559
108,11477,12,656,152,0,0,2698,183,181,136
109,8068,108,1900,613,22,0,2234,431,481,530
110,7663,36,1410,594,3,0,2351,662,667,544
111,8245,24,1132,523,2,0,2291,638,628,538
112,9637,16,892,394,2,0,2174,580,535,526
113,11298,11,699,249,2,0,2009,497,424,511
114,12690,8,572,131,2,0,1802,403,331,499
115,13274,8,528,83,2,0,1565,309,293,494
116,9856,30,1923,461,10,0,1153,185,302,1488
117,11162,15,1119,184,1,0,1500,266,501,1335
118,11989,2,500,23,3,0,1776,311,609,1349
119,10320,2,211,10,2,0,1667,309,450,4007
120,11908,9,819,163,1,0,2407,244,274,98
121,9257,12,1218,199,10,0,2889,282,338,265
122,6249,95,2396,942,59,0,1986,182,387,769
123,6793,80,2071,1053,47,0,1695,277,402,854
124,6666,81,2301,992,47,0,1621,246,380,927
125,6492,77,2453,922,54,0,1699,237,356,1127
126,7663,39,1700,574,31,0,1678,462,429,1129
127,9103,13,898,295,3,0,1571,603,500,1055
128,9042,22,1790,355,0,0,1510,423,535,468
129,7504,28,2628,664,23,0,1401,289,305,1018
130,6745,91,2735,859,58,0,1197,131,335,1045
131,6536,22,2782,1393,38,0,1201,300,387,723
132,6471,15,2793,1300,38,0,1254,279,437,962
133,6425,17,2887,1153,37,0,1209,258,542,1369
134,6362,20,2944,1042,22,0,1154,236,630,1891
135,6344,26,2966,847,26,0,1166,211,627,2247
136,6432,30,2972,763,30,0,1144,205,669,2333
137,6173,139,2648,1028,48,0,1289,257,517,1415
138,10643,5,1456,56,2,0,2013,323,646,305
139,8283,19,1165,370,24,0,1892,683,682,555
140,4729,219,1710,1035,179,0,1204,420,405,1134
141,4469,373,1936,731,229,0,1285,363,654,1592
142,7534,46,2840,770,59,0,1124,421,416,796
143,8800,20,2045,596,22,0,1523,466,445,407
144,8985,8,1080,179,10,0,2152,686,838,707
145,9006,9,1346,217,15,0,2044,654,793,656
146,9302,11,1824,315,5,0,1934,464,568,552
147,9558,34,2217,353,9,0,1718,333,390,419
148,6835,274,3027,467,28,0,1904,388,243,651
149,5242,144,3215,901,69,0,939,356,358,1318
150,6391,81,2546,1123,25,0,988,343,340,876
151,6197,188,2845,533,60,0,649,266,301,1734
152,7746,137,2468,182,384,0,597,133,176,781
153,8529,61,2140,18,554,0,625,43,68,71
154,5861,53,1473,45,399,0,451,31,44,94
155,1313,45,398,88,37,0,382,44,34,107
156,9748,0,1523,0,336,0,1159,0,0,0
157,9179,3,1698,0,45,0,4153,2,0,0
158,8273,44,2441,0,318,0,3927,37,0,0
159,7291,194,1594,0,687,0,2129,148,0,1
160,6598,271,3658,0,1069,0,2801,412,0,0
161,5090,504,5527,0,927,0,2774,335,0,0
162,5413,1106,3387,0,1444,0,2988,650,0,0
163,5983,1595,2496,0,1286,0,3601,412,0,0
164,7414,1300,1535,0,1399,0,3227,587,0,0
165,8141,907,2323,0,847,0,3225,594,0,0
166,7108,1303,1041,0,1166,0,4216,864,0,0
167,6604,1156,618,0,1782,0,3213,863,0,0
168,1976,2569,12,0,2142,0,873,12,0,0
169,713,5692,1763,0,2364,0,1323,240,0,0
170,3017,3468,2672,0,1924,0,2150,432,0,0
171,5526,1135,3804,0,1406,0,2880,558,0,0
172,6134,693,5437,0,721,0,2628,398,0,0
173,5671,585,5352,0,666,0,3222,490,0,0
174,5193,461,4997,0,666,0,3787,663,0,0
175,4874,390,4710,0,788,0,4116,722,0,0
176,3394,1537,3532,0,1747,0,3847,725,0,0
177,3595,1234,3784,0,1369,0,4364,903,0,0
178,4061,519,4350,0,887,0,4837,1130,0,0
179,4430,237,5177,0,757,0,4212,734,0,0
180,4380,142,5253,0,716,0,4528,683,0,0
181,4407,98,5041,0,700,0,5056,604,0,0
182,4761,68,4811,0,708,0,5044,581,0,0
183,6877,80,3362,0,940,0,3820,775,0,0
184,7946,164,2093,0,905,0,3427,694,0,0
185,7104,1328,2457,0,689,0,2691,332,0,0
186,9577,19,545,0,65,0,6346,312,0,0
187,8270,333,898,0,308,0,6122,448,0,0
188,7171,1018,1571,0,813,0,4589,639,0,0
189,6526,1390,1931,0,1127,0,3539,755,0,0
190,8402,134,579,0,331,0,5541,819,0,0
191,7232,570,1701,0,1407,0,3428,878,0,0
192,5593,303,3574,0,1204,0,4271,506,0,0
193,5892,569,2906,0,751,0,5311,539,0,0
194,5698,1101,2732,0,979,0,4639,415,0,0
195,5379,975,2405,0,1078,0,5314,284,0,0
196,5252,1138,4213,0,1221,0,3199,341,0,0
197,6164,775,3300,0,1446,0,3198,339,0,0
198,7148,623,2527,0,1026,0,3897,480,0,0
199,5779,1593,3003,0,1147,0,3836,457,0,0
200,4229,826,4546,0,851,0,4808,538,0,0
201,5268,747,3770,0,999,0,4066,480,0,0
202,4616,604,3016,0,1213,0,4526,661,0,0
203,3697,555,2626,0,1319,0,4926,782,0,0
204,4431,1113,2979,0,1184,0,4058,659,0,0
205,4959,1209,2013,0,1835,0,4294,749,0,0
206,5669,1501,2102,0,1609,0,3432,802,0,0
207,6144,1538,2114,0,1495,0,3156,473,0,0
208,6512,1592,2168,0,1263,0,2764,311,0,0
209,6661,999,3012,0,987,0,3060,334,0,0
210,6848,192,3814,0,727,0,3673,418,0,0
211,7213,156,2886,0,607,0,3635,851,0,0
212,5075,978,3952,0,879,0,2926,774,0,0
213,6261,1007,3644,0,883,0,3133,550,0,0
214,6304,1056,2875,0,895,0,3807,394,0,0
215,4842,27,345,0,148,0,6814,1933,0,0
216,4713,111,508,0,157,0,6500,1815,0,0
217,5068,614,1687,0,549,0,3782,1084,0,0
218,5369,559,1870,0,555,0,3793,1111,0,0
219,6038,459,2165,0,485,0,3695,1134,0,0
220,6622,357,2433,0,425,0,3687,1152,0,0
221,7123,246,2672,0,365,0,3621,1205,0,0
222,7463,186,2899,0,314,0,3552,1139,0,0
223,7660,148,3015,0,311,0,3581,1162,0,0
224,7696,123,3049,0,307,0,3561,1216,0,0
225,7669,101,3035,0,346,0,3605,1156,0,0
226,6792,374,2797,0,680,0,3587,1036,0,0
227,5487,873,2245,0,1278,0,3397,813,0,0
228,4495,1179,1835,0,1738,0,3342,560,0,0
229,1604,1105,5949,0,150,0,1739,145,16,0
230,2619,1641,4988,0,167,0,2063,86,24,0
231,2620,1949,4500,0,207,0,1991,113,22,0
232,7012,901,3243,0,1055,0,2289,458,0,0
233,7591,394,4377,0,394,0,3030,542,0,0
234,7361,349,4396,0,351,0,3155,629,0,0
235,7036,320,4594,0,280,0,3168,674,0,0
236,6798,293,4594,0,294,0,3119,805,0,0
237,6392,281,4726,0,263,0,3148,895,0,0
238,5997,244,4669,0,254,0,3077,1026,0,0
239,5553,269,4771,0,267,0,3073,1099,0,0
240,5060,271,4944,0,266,0,3163,1131,0,0
241,4605,266,5005,0,294,0,3156,1246,0,0
242,3896,527,2386,0,680,0,4818,1483,0,0
243,3473,657,2063,0,739,0,5104,1460,0,0
244,2929,801,1759,0,827,0,5291,1439,0,0
245,2511,948,1412,0,891,0,5368,1345,0,0
246,2042,1156,1088,0,857,0,5426,1232,0,0
247,1602,1334,825,0,904,0,5269,1133,0,0
248,1229,1580,633,0,860,0,4939,1045,0,0
249,946,1741,474,0,841,0,4420,943,0,0
250,764,1883,403,0,808,0,3776,874,0,0
251,660,2082,344,0,667,0,2978,854,0,0
252,609,2332,308,0,587,0,2063,813,0,0
