"Time","Phocaeicola_A_858004","Faecalibacterium","Gemmiger_A_73129","Anaerostipes","Fusicatenibacter","Blautia_A_141781","Faecalibacillus","Bacteroides_H","Agathobaculum","unknown_Genus_79"
265,7169,2810,60,59,282,461,696,3946,31,137
266,7735,1812,68,12,332,77,1034,4006,24,260
267,7826,366,19,12,223,23,143,5541,85,173
268,5646,2705,77,385,340,583,964,3997,56,14
269,5429,2762,67,73,351,243,918,4511,103,9
270,3871,4401,89,392,330,803,1413,2419,325,287
271,2293,5362,165,874,279,1486,2148,738,473,506
272,39,4599,625,1903,568,2593,4273,17,303,34
273,3462,4815,439,1654,386,1912,2910,27,238,32
274,7031,5231,235,1144,181,895,1124,98,213,32
275,7190,3610,488,388,150,302,492,1710,409,59
276,5768,6512,449,682,151,652,488,799,259,149
277,6041,5555,392,550,113,585,385,1410,354,211
278,6270,4646,268,339,78,472,222,2240,437,257
279,6249,4235,258,234,60,458,190,2540,490,338
280,4330,5139,588,994,211,1205,1814,327,184,608
281,6858,4704,255,637,125,711,535,931,306,54
282,2007,7759,737,1235,388,1987,621,328,146,17
283,4569,5301,744,972,293,1682,133,1332,183,13
284,4577,5521,740,1012,473,1339,823,749,119,6
285,4563,5772,628,486,118,811,366,2221,258,4
286,1911,6728,1015,706,172,1501,759,578,612,4
287,5713,4256,781,712,119,720,1282,1124,397,1
288,5507,5627,468,545,220,1097,614,1307,227,2
289,6692,5178,305,520,159,1300,721,506,183,0
290,5114,4522,555,396,206,1589,1279,865,107,16
291,5407,4643,500,861,185,1169,782,1086,233,2
292,4880,5384,345,1091,160,946,1899,938,111,27
293,4488,5198,454,1084,190,1108,1891,895,139,26
294,4154,4766,696,1062,256,1468,1870,846,193,24
295,3923,4273,937,1023,322,1827,1836,815,245,21
296,3841,3903,1048,964,353,1992,1792,830,270,21
297,4530,4031,532,582,297,930,741,2962,118,33
298,6961,2830,812,254,146,678,480,2737,306,16
299,5064,4823,834,338,238,759,526,2104,252,69
300,3168,6902,816,528,331,843,573,1496,189,123
301,4470,6055,501,888,276,660,466,1920,163,20
302,3594,5544,614,1253,375,779,879,1732,334,8
303,3456,5278,1308,882,223,1283,593,1863,620,0
304,986,5861,2014,1093,502,2085,2118,185,795,19
305,5433,5443,800,721,386,681,1036,674,583,20
306,2459,5413,844,1296,781,1991,2879,43,477,60
307,887,3949,1352,725,570,2138,2956,96,691,186
308,3656,4077,938,601,397,1521,1874,529,613,127
309,6545,4051,506,549,265,812,955,1033,481,55
310,2776,4273,737,958,276,1046,1469,606,1812,64
311,190,1350,1364,1580,499,2993,3477,99,1069,87
312,7834,2477,295,257,120,410,689,1606,839,25
313,3943,3423,680,840,425,1734,879,822,393,26
314,5853,4130,676,777,259,1106,582,453,126,16
315,6486,2204,891,395,221,543,742,2272,379,5
316,1405,2109,1820,1598,394,1215,3195,1710,683,18
317,6436,1749,342,1025,237,594,1620,2278,955,28
318,7746,2762,243,1333,261,673,1937,435,831,23
319,6718,3384,300,1325,324,822,2151,252,772,34
320,4802,4362,347,1524,421,1020,2703,153,620,36
321,2151,5649,519,1658,545,1288,3326,83,473,60
322,647,6632,564,1692,547,1385,3621,34,388,81
323,2351,6323,550,1906,408,1085,1866,83,692,141
324,4724,4622,876,1380,447,599,2686,314,310,42
325,7343,6930,162,360,119,246,311,251,89,30
326,5777,5877,330,417,166,503,1230,531,168,23
327,5701,4673,199,654,353,727,944,1600,434,9
328,1701,7325,260,3142,440,679,1895,298,707,8
329,3858,5205,418,1413,455,684,1906,1089,388,2
330,3705,6961,732,837,331,893,901,696,608,2
331,1592,4551,733,1069,349,950,4511,730,300,32
332,1764,4789,353,2745,335,592,4150,568,254,64
333,2407,4957,217,3485,286,384,3328,578,262,87
334,4929,4120,451,1708,197,586,1311,1390,583,11
335,1601,6361,1008,1228,301,1072,2766,568,267,3
336,4368,4459,556,1113,204,758,2524,628,698,9
337,94,3522,799,2070,596,2205,4241,17,640,11
338,1809,6663,492,1979,495,1524,2396,408,253,1
339,1612,5002,394,2149,497,1672,3485,337,178,8
340,5458,4622,486,747,467,951,1263,1231,347,4
341,2925,5116,1470,872,673,931,2496,685,447,0
342,1402,3253,2359,1369,338,2195,1819,433,913,0
343,2726,4504,1050,2102,189,1795,1643,1351,247,3
344,3335,3364,1001,1364,425,1213,1954,1511,543,0
345,4829,4149,941,1067,201,989,1353,1269,568,7
346,6362,3105,682,536,107,536,1368,1995,508,4
347,3899,4828,850,858,268,1106,1720,1043,333,1
348,1792,3773,1705,1412,335,1997,2516,776,559,19
349,1039,2482,1725,2900,449,3073,2108,359,800,12
350,1455,3150,1106,1882,425,1864,3889,231,988,0
351,533,5993,707,1752,982,2359,2718,141,414,1
352,1980,3830,686,1940,608,2265,2426,341,387,0
353,7095,3422,377,700,191,605,1711,829,443,3
354,4278,4585,818,974,375,847,1676,906,957,1
355,5416,3783,887,324,118,769,478,2067,559,0
356,1045,4017,2523,1081,577,2162,1545,673,495,3
357,1417,3630,1488,1063,438,2172,2490,1101,945,35
358,4913,4853,692,2004,613,1092,1531,166,500,11
359,6108,3155,925,1189,220,1163,1353,980,617,13
360,583,3739,424,3160,453,2547,3594,68,586,7
361,606,2342,675,1879,583,2583,4933,73,614,239
362,830,2669,878,2012,515,2516,4335,118,785,189
363,965,3276,1008,2141,509,2391,3496,167,959,136
364,1224,4158,1125,2378,519,2210,2304,283,1237,82
