"Time","Phocaeicola_A_858004","Bacteroides_H","Faecalibacterium","Paramuribaculum","Lachnospira","Parabacteroides_B_862066","Phascolarctobacterium_A","Ruminococcus_E","Gemmiger_A_73129","Prevotella"
100,2835,4433,239,162,34,146,159,2,33,7
101,5252,5466,569,535,286,334,300,37,153,2
102,5240,5034,664,705,174,464,266,12,280,0
103,6013,4978,1136,678,134,738,217,89,319,0
104,5743,5743,826,540,294,579,278,131,504,20
105,1826,2130,701,322,124,271,182,331,729,1900
106,1933,2252,724,316,151,276,188,317,696,1849
107,2324,2509,778,362,250,298,196,270,641,1636
108,2841,2876,844,388,407,353,222,230,578,1307
109,3586,3401,871,446,598,478,243,170,476,889
110,4120,3932,936,498,785,581,272,102,382,483
111,4673,4290,957,581,933,696,300,55,320,139
112,4649,4495,935,615,982,814,316,52,270,14
113,3987,5528,778,996,787,925,368,161,313,48
114,3999,5845,702,1119,487,894,399,159,428,23
115,4500,5136,699,1288,645,869,264,117,578,3
116,4340,5499,622,1035,588,775,298,251,717,16
117,4185,6020,520,648,503,667,346,394,833,25
118,6291,5246,525,519,821,470,207,91,303,0
119,6080,5618,811,452,609,381,255,168,293,0
120,5703,5968,985,410,373,391,310,301,316,0
121,4732,6086,1311,485,187,546,311,454,405,0
122,4017,5827,998,777,217,627,391,630,596,7
123,3907,5914,1316,773,199,899,132,468,569,2
124,3561,6375,1076,768,519,854,301,372,338,6
125,4000,5773,1536,478,760,650,279,288,230,0
126,4176,4134,1483,575,805,648,187,165,350,4
127,5713,4881,697,762,446,1083,446,181,410,0
128,2074,1415,525,311,100,435,137,450,510,2389
129,4589,5881,540,633,375,895,420,349,431,21
130,1796,2565,699,347,120,353,281,1178,711,1624
131,5109,4986,1046,827,469,939,473,554,568,0
132,6022,5024,934,561,706,817,296,368,261,0
133,5120,6007,1176,495,461,917,270,354,216,0
134,5681,5372,807,533,799,1034,377,204,166,6
135,5447,5851,1106,362,519,901,275,65,206,20
136,5887,5568,1060,268,433,910,265,206,310,15
137,6347,5029,1025,209,407,881,269,454,431,12
138,5843,4536,953,202,650,890,446,296,396,51
139,5211,4310,1549,236,1099,838,399,290,397,6
140,4610,5054,1339,475,915,905,233,743,465,46
