"Time","R","P","S"
172,0.35605879255039,0.369895150093359,0.27404605735625
173,0.359047892170921,0.368750597457222,0.272201510371857
174,0.361408882082695,0.366864471669219,0.271726646248086
175,0.362035882183632,0.365489782212415,0.272474335603953
176,0.364015333013896,0.362098706276953,0.273885960709152
177,0.366218164344065,0.360643921191735,0.2731379144642
178,0.367924981966819,0.357730223611445,0.274344794421736
179,0.368529821694622,0.354976690536839,0.276493487768539
180,0.370548604427334,0.350577478344562,0.278873917228104
181,0.37248306021433,0.348166658657312,0.279350281128358
182,0.373183714573443,0.347479978899918,0.279336306526639
183,0.375263966212325,0.342916106738338,0.281819927049338
184,0.377398311588642,0.339169224865695,0.283432463545664
185,0.37763316461798,0.338009158833454,0.284357676548566
186,0.380576923076923,0.333461538461538,0.285961538461538
187,0.379952932135824,0.332068584602084,0.287978483262091
188,0.380071140165353,0.330417227456258,0.289511632378389
189,0.379839018781142,0.328717899578383,0.291443081640475
190,0.38199653779573,0.324293133294864,0.293710328909406
191,0.381895060541995,0.322602344801076,0.295502594656929
192,0.381763238679969,0.319359171143515,0.298877590176516
193,0.383694659424122,0.315723693698024,0.300581646877854
194,0.383961176244474,0.31227176628868,0.303767057466846
195,0.385524230344364,0.308966908409779,0.305508861245858
196,0.385908457807022,0.307766197588973,0.306325344604006
197,0.38496954582514,0.305644813198408,0.309385640976452
198,0.384571182301393,0.303069482354068,0.312359335344539
199,0.383203106274867,0.302430372465366,0.314366521259767
200,0.382482310193154,0.299674890036336,0.317842799770511
201,0.381897502277194,0.2976652763795,0.320437221343305
202,0.379148732663797,0.299139167862267,0.321712099473936
203,0.378518093049971,0.29599846831323,0.325483438636799
204,0.376004592422503,0.296785304247991,0.327210103329506
205,0.374778570402643,0.296021448748025,0.329199980849332
206,0.373187361951407,0.295832132910785,0.330980505137809
207,0.372697099427582,0.294675068545866,0.332627832026552
208,0.370803270803271,0.294227994227994,0.334968734968735
209,0.370727726574501,0.294498847926267,0.334773425499232
210,0.368145587246711,0.29530394698934,0.336550465763949
211,0.367766412140422,0.294866253661816,0.337367334197762
212,0.367647058823529,0.294884077409465,0.337468863767005
213,0.365933014354067,0.29555023923445,0.338516746411483
214,0.365310821181888,0.295424021488872,0.33926515732924
215,0.363208000769305,0.296374651408789,0.340417347821906
216,0.363864008475392,0.295579312337475,0.340556679187133
217,0.363041700735895,0.295127699485354,0.34183059977875
218,0.360892514395393,0.296449136276392,0.342658349328215
219,0.356726554597563,0.298155194836472,0.345118250565965
220,0.357132547510224,0.298628818859755,0.344238633630022
221,0.354206869934388,0.299498263218834,0.346294866846777
222,0.351106397338861,0.30067974738466,0.348213855276479
223,0.34986040242611,0.300375469336671,0.34976412823722
224,0.346619285439877,0.302247406838264,0.351133307721859
225,0.343981526027134,0.303906475512364,0.352111998460502
226,0.34315799596115,0.304163861909799,0.352678142129051
227,0.341010722700389,0.304851661297303,0.354137616002308
228,0.340558465900899,0.305329937040419,0.354111597058682
229,0.336650717703349,0.3088995215311,0.35444976076555
230,0.33485226400614,0.308854566385265,0.356293169608596
231,0.332564509153813,0.31017250492528,0.357262985920907
232,0.330032686021919,0.311430494135743,0.358536819842338
233,0.328351058733353,0.313452141419948,0.358196799846699
234,0.326798638738436,0.315199156401285,0.358002204860279
235,0.326187050359712,0.316882494004796,0.356930455635492
236,0.324415197655987,0.318603199000913,0.3569816033431
237,0.324161816345183,0.319351580162586,0.356486603492231
238,0.322261212325145,0.320867182617892,0.356871605056963
239,0.322113766408617,0.32317161129009,0.354714622301293
240,0.321997210063014,0.324931454134398,0.353071335802588
241,0.321777179400875,0.327595326248978,0.350627494350147
242,0.320644850818094,0.329499518768046,0.349855630413859
243,0.320053758279735,0.330757415762696,0.349188825957569
244,0.319689044579874,0.334373050530256,0.34593790488987
245,0.320668400269672,0.332803621304055,0.346527978426274
246,0.320177554762134,0.337161053748914,0.342661391488951
247,0.320704760987821,0.338612622153757,0.340682616858422
248,0.323245952197379,0.339533538936006,0.337220508866615
249,0.321961106017469,0.342324952950828,0.335713941031704
250,0.32287840711386,0.343707713125846,0.333413879760294
251,0.32253242682868,0.346207628140219,0.331259945031101
252,0.323465703971119,0.34748495788207,0.329049338146811
253,0.323536485641445,0.349319351580163,0.327144162778392
254,0.323219187978616,0.352068583538024,0.32471222848336
255,0.323136952647045,0.355363938532685,0.321499108820271
256,0.323056171114751,0.359090471143655,0.317853357741594
257,0.323267948594067,0.36095274905788,0.315779302348053
258,0.320922156843831,0.364714960933732,0.314362882222437
259,0.321626172720712,0.367235987490979,0.311137839788309
260,0.320727482678984,0.368697074672825,0.310575442648191
261,0.320303860762537,0.370065868551373,0.309630270686091
262,0.32153165287666,0.370887050221281,0.307581296902059
263,0.323285172562761,0.372437959007344,0.304276868429895
264,0.324354172668779,0.373235378853356,0.302410448477864
265,0.327132900745013,0.373996635424177,0.29887046383081
266,0.328845506563447,0.374332836466798,0.296821656969755
267,0.332836395113975,0.375541021448495,0.29162258343753
268,0.335394793614267,0.376288412675584,0.288316793710149
269,0.339223123829644,0.37561818792913,0.285158688241225
270,0.340922162576687,0.373993481595092,0.285084355828221
271,0.34204960584503,0.37372620649875,0.28422418765622
272,0.343947822750815,0.373633224630731,0.282418952618454
273,0.34648493543759,0.372070779531325,0.281444285031086
274,0.349261886503067,0.369392254601227,0.281345858895706
275,0.352004234637409,0.368124729320052,0.279871036042539
276,0.354223563796656,0.365435292990274,0.280341143213071
277,0.354872678537239,0.364732912119472,0.280394409343289
278,0.356741977262916,0.362881949441167,0.280376073295918
279,0.358728167519058,0.360658110585738,0.280613721895204
280,0.36308579668349,0.35803893294881,0.2788752703677
281,0.364944596344798,0.35626229193649,0.278793111718713
282,0.366600933096051,0.354768890385263,0.278630176518686
283,0.369304787106086,0.350300697618475,0.280394515275439
284,0.371791173925584,0.347514662051726,0.28069416402269
285,0.374184574059862,0.344781273983116,0.281034151957022
286,0.376780901039661,0.341836734693878,0.281382364266461
287,0.379237185978109,0.339408843242201,0.28135397077969
288,0.380657844265439,0.337696586114308,0.281645569620253
289,0.381394903238168,0.335313278405825,0.283291818356007
290,0.383986615678776,0.332934990439771,0.283078393881453
291,0.384873145045476,0.332503590234562,0.282623264719962
292,0.385897681548189,0.332247557003257,0.281854761448553
293,0.388513351550889,0.328826885277338,0.282659763171772
294,0.391129994748651,0.327636415715854,0.281233589535494
295,0.393029362616376,0.326378610646932,0.280592026736691
296,0.394252378903075,0.325826041218381,0.279921579878544
297,0.395758533199291,0.323711044090191,0.280530422710517
298,0.396751628976619,0.321100038328862,0.282148332694519
299,0.397937649880096,0.319952038369305,0.2821103117506
300,0.399308556611927,0.319024296552386,0.281667146835686
301,0.402224147891392,0.315376468322742,0.282399383785866
302,0.40341100168148,0.313860196973337,0.282728801345184
303,0.40488622754491,0.311664670658683,0.283449101796407
304,0.405509165946828,0.309290718878971,0.285200115174201
305,0.407048967210747,0.30795897732197,0.284992055467283
306,0.405884608012268,0.306881349434541,0.287234042553192
307,0.406351791530945,0.306332630772179,0.287315577696877
